Date,Location / Operator,Aircraft Type / Registration,Fatalities
06 Jan 1959,"Mt. Pena Blanca, GuatemalaSahsa Airlines",Douglas DC-3XH-SAA,5/5(0)
08 Jan 1959,"Mt. Holston, TennesseeSoutheast Airlines",Douglas DC-3N18941,10/10(0)
11 Jan 1959,"Rio de Janerio, BrazilLufthansa",Lockheed L 1049G Super ConstillationD-ALAK,36/39(0)
14 Jan 1959,"Panther Peak, CaliforniaCalifornia Air Freight",Curtiss C-46FN1240N,2/2(0)
16 Jan 1959,"Off Mar del Plata, ArgentinaAustral Lineas Aeras (Argentina)",Curtiss C-46A-50-CULV-GED,51/52(0)
18 Jan 1959,"Stalingrad, RussiaAeroflot",Ilyushin IL-14PCCCP-41863,25/25(0)
21 Jan 1959,"Near Merida, VenezuelaLinea Expresa Bolivar", Curtiss C-46D-15-CUYV-C-LBI,4/4(0)
22 Jan 1959,"Dabouk, JordanAir Jordan",Convair CV-240-2JY-ACB,10/15(0)
27 Jan 1959,"Brindisi, ItalyAir Charter",Avro 688G-AGRG,2/6(0)
01 Feb 1959,"Kerrville, TexasGeneral Airways",Douglas DC-3N17314,3/28(0)
03 Feb 1959,"Mason City, IowaDwyer Flying Service - Private Charter",Beechcraft Bonanza 35N3794N,4/4(0)
03 Feb 1959,"La Guardia Airport, New York, NYAmerican Airlines",Lockheed  188A ElectraN6101A,65/73(0)
17 Feb 1959,"Gatwick, Surrey, EnglandTurkish Airlines (THY)",Vickers Viscount 794DTC-SEV,14/24(0)
18 Feb 1959,"Belen, ChileSouthern Cross Airways",Curtiss C-46AN68823,5/5(0)
05 Mar 1959,"Managua, NicaraguaTACA",Vickers Viscount 763YS-09C,15/19(0)
12 Mar 1959,"Tobu, IndiaIndian Airlines",Douglas C-47AVT-CYH,5/7(0)
13 Mar 1959,"Mahon, SpainAviaco",Bristol 170 Freighter 21EEC-ADH,1/18(0)
29 Mar 1959,"Near Bangui, Central African RepublicUnion Aeromaritime de Transport",Nord 2501 NoratlasF-BGZB,9/9(0)
29 Mar 1959,"Near Silchar, IndiaIndian Airlines",Douglas DC-3VT-CGI,24/24(0)
30 Mar 1959,"Alma, GeorgiaRiddle Airlines",Curtiss C-46AN7840B,2/2(0)
17 Apr 1959,"Puerto Kino, MexicoTigres Voladores",Curtiss C-46F-1-CUXA-MIS,26/26(0)
23 Apr 1959,"Van, TurkeyAir Charter",Avro 688 Super TraderG-AGRH,12/12(0)
29 Apr 1959,"Valdemeca, SpainIberia Airlines",Douglas DC-3EC-ABC,28/28(0)
02 May 1959,"Mallorca, SpainAustria-Flugdienst",Douglas DC-3OE-FDA,5/5(0)
12 May 1959,"Chase, MarylandCapital Airlines",Vickers Viscount 745DN7463,31/31(0)
12 May 1959,"Charleston, West VirginiaCapital Airlines",Lockheed C-69 ConstellationN2735A,2/44(0)
