Date,Location / Operator,Aircraft Type / Registration,Fatalities
02 Jan 1971,"Ben Gashir, LibyaUnited Arab Airlines",de Havilland Comet 4CSU-ALC,16/16(0)
09 Jan 1971,"Edison, New JerseyAmerican Airlines / Private",Boeing B-707-323 / Cessna 150N7595A/N60942,2/21(0)
18 Jan 1971,"Zurich, SwitzerlandBalkan Bulgarian Airlines",Ilyushin IL-18LZ-BED,45/47(0)
21 Jan 1971,"Near Pacae, PeruFuerza Aérea del Peru",Curtiss-Wright C-46FAP-381,35/35(0)
21 Jan 1971,"Near Privas, FranceL'Armée de L'Air",Nord 262A-34F-RBOA,21/21(0)
22 Jan 1971,"Surgut, USSRAeroflot",Antonov AN-12BCCCP 11000,14/14(0)
23 Jan 1971,"Near Sokcho, South KoreaKorean Airlines",Fokker F-27 Friendship 500HL-5212,2/60(0)
25 Jan 1971,"Merida, VenezuelaLinea Aeropostal Venezolana",Vickers Viscount 749YV-C-AMV,13/47(0)
31 Jan 1971,"Voroshilovgrad, RussiaAeroflot",Antonov AN-10CCCP-12996,7/7(0)
17 Feb 1971,"Mt. Cunatineuta, EcuadorTAM (Transportes Aereos Militares)",Curtiss C-46TAM-60,12/12(0)
26 Mar 1971,"Gauhati, IndiaJamair",Douglas DC-3VT-ATT,15/15(0)
31 Mar 1971,"Ontario, CaliforniaWestern Airlines",Boeing B-720-047BN3166,5/5(0)
31 Mar 1971,"Vorochilovgrad, UkraineAeroflot",Antonov An-10CCCP-11145,65/65(0)
15 Apr 1971,"Near San Jose, PhilippinesMilitary - Philippine Air Force",Douglas C-47A293246,39/40(0)
22 Apr 1971,"Manchester, New HampshireNew England Aviaiton",Beechcraft C35N144H,4/4(0)
11 May 1971,"Guatemala City, GuatemalaAviateca",Curtiss C-46A-55-CKTG-ACA-A,5/35(0)
23 May 1971,"Near Rijeka, YugoslaviaAviogenex (Yugoslavia)",Tupolev TU-134AYU-AHZ,78/83(0)
25 May 1971,"Santiago, Chile	Aerolineas Flecha Austral - ALFA",	Curtiss C-46	CC-CAZ,4/4(0)
28 May 1971,"Roanoke, VirginiaPrivate",Aero Commander 680EN601JJ,6/6(0)
06 Jun 1971,"Near Duarte, CaliforniaHughes Airwest  / Military - US Marine Air Corps",McDonnell Douglas DC-9-31 / F4-BN9345/151458,50/51(0)
07 Jun 1971,"New Haven, ConnecticutAllegheny Airlines",Convair CV-580N5832,28/31(0)
13 Jun 1971,North Pacific OceanMilitary - U.S. Air Force,Boeing - EC-135N61-0331,24/24(0)
17 Jun 1971,"Near Arica, ChileSAVCO",Douglas DC-6CP-926,6/6(0)
28 Jun 1971,"Garberville, CaliforniaShelter Cove Sea Park",Douglas DC-3N90627,17/24(0)
03 Jul 1971,"Hokkaido, JapanToa Domestic Airline (Japan)",NAMC YS-11A-227JA8764,68/68(0)
24 Jul 1971,"Near Bamako, MaliAir Ivoire",Douglas DC-36V-AAP,6/6(0)
