Date,Location / Operator,Aircraft Type / Registration,Fatalities
15 Jan 1934,"Corbigny, FranceAir France",Dewoitine D-332F-AMMY,14/14(0)
20 Jan 1934,"Carombe, FranceAir France",Breguet 280TF-AJKX,2/2(0)
23 Feb 1934,"Near Salt Lake City, UtahBoeing Aircraft Company",Boeing 247NC13357,8/8(0)
26 Feb 1934,"Rio de Oro, MoroccoAir France",Latécoère 28F-AJPA,1/6(0)
06 Mar 1934,"Petersburg, IllinoisAmerican Airways",Fairchild Pilgrim 100ANC710Y,4/4(0)
10 Mar 1934,"Pereira, ColombiaPan American Airways (Scadta)",Sikorsky S-38 Flying BoatNC-9107,5/6(0)
22 Mar 1934,"Near Lima, PeruPan American Grace Airlines",Ford 5-AT-C Tri-MotorNC407H,3/15(0)
10 Apr 1934,"Ningpo Bay, ChinaChina National Aviation Corporation",Sikorsky S-38BBNV17V,3/3(0)
09 May 1934,English ChannelAir France,Wibault 282TF-AMHP,6/6(0)
31 May 1934,"Croydon, EnglandAir France",Liore-et-Olivier 213F-AIVG,2/2(0)
09 Jun 1934,"Mongaup Mountain, New YorkAmerican Airways",Curtiss Condor T-32NC12354,7/7(0)
11 Jun 1934,"Junin, ArgentinaPanagra",Ford 5-AT-C Tri-MotorNC8417,6/10(0)
22 Jun 1934,"Chausseehausen, GermanyDeutsche Lufthansa",Dornier MerkurD-1445,1/7(0)
23 Jun 1934,"Burbank, CaliforniaAerevias Centrales Air Service",Lockheed OrionXA-BEJ,1/1(0)
09 Jul 1934,"San Bernardino, CaliforniaUnited Air Services",Lockheed VegaNC32E,3/4(0)
27 Jul 1934,"Near Tuttlingen, GermanySwissair",Curtiss AT-32C CondorCH-170,12/12(0)
05 Aug 1934,"Bahia, BrazilAir France",Latecoere 26F-AILK,2/2(0)
10 Aug 1934,"Ningbo, ChinaChina National Aviation Corporation",Sikorsky S-38B?,?/?(?)
31 Aug 1934,"Amazonia, MissouriRapid Air Transport",Stinson  SM-6000BNC11118,5/5(0)
02 Oct 1934,English ChannelHillman's Airways,de havilland 89 Dragon RapideG-ACPM,7/7(0)
03 Oct 1934,"Near Winton, AustraliaQantas",de Havilland DH-50AVH-UHE,3/3(0)
19 Oct 1934,"Bass Strait, AustraliaHolymans Airways",de Havilland DH-86VH-URN,11/11(0)
02 Nov 1934,"Kiapit, AustraliaHoldens Air Transport Service",De Havilland DH-61VH-UHW,2/4(0)
15 Nov 1934,"Amazonia, MontanaRapid Air Transport",Stinson SM-6000-BNC10809,2/2(0)
15 Nov 1934,"Near Longreach, AustraliaQantas",de Havilland DH-86VH-USG,4/4(0)
07 Dec 1934,"Salchau, GermanyDeutsche Lufthansa",Junkers F-13D-OMAS,3/3(0)
08 Dec 1934,"Columbia, MissouriBraniff Airlines",Lockheed Vega 5CNC106W,1/1(0)
10 Dec 1934,"Palma Soriano, CubaCubana de Aviacion",Ford 4-AT-E Tri-motorNM-7,4/8(0)
20 Dec 1934,"Rutbah Wells, SyriaKLM Royal Dutch Airlines",Douglas DC-2-115APH-AJU,7/7(0)
22 Dec 1934,"Sunbright, TennesseeAmerican Airlines",Lockheed Orion 9DNC12286,1/1(0)
31 Dec 1934,?Aeroflot,Tupolev ANT-9?,10/10(0)
