Date,Location / Operator,Aircraft Type / Registration,Fatalities
08 Jan 1928,"Near Canajoharie, New YorkColonial Western Airlines",Fairchild FC-2NC3780,3/3(0)
16 Jan 1928,"Solis, UruguayAeropostale",Latecoere 25F-AIKG,2/2(0)
22 Jan 1928,"L'Hospitalet, AriègeAeropostale",Breguet 14 F-AHEQ,1/1(0)
22 Jan 1928,"Tarragona, SpainAeropostale",Breguet 14F-AHEQ,2/2(0)
27 Jan 1928,"Almeria, SpainAeropostale",Breguet 14F-AFHN,1/1(0)
26 Feb 1928,"Marquette, NebraskaBoeing Air Transport",Boeing 40NC280,1/2(0)
11 Mar 1928,"Off Cape Griz Nez, FranceAir Union",Farman F-60 GoliathF-AEFC,2/2(0)
17 Apr 1928,"Federal, WyomingBoeing Air Transport",Boeing 40NC282NC282,1/2(0)
19 Apr 1928,"Minuesa, SpainIberia Airlines",Rohrbach RolandM-CCCC,9/9(0)
07 May 1928,"Florianopolis, BrazilFlorianopolis, BrazilFlorianopolis, BrazilAeropostale",Latecoere 26F-AIMQ,1/5(0)
12 May 1928,"Dearborn, MinnesotaFord Air Freight Inc.",Ford 4NC1492,2/2(0)
26 May 1928,"Radevormwald, GermanyDeutsche Lufthansa",Junkers F-13D-583,3/5(0)
14 Jun 1928,"Frankfurt, GermanyDeutsche Lufthansa",AEGKD-74,5/5(0)
22 Jun 1928,"Lebo, KansasNational Air Transport",Douglas M-4NC1059,1/1(0)
10 Jul 1928,Over the Gulf of FinlandAero O-Y,Junkers F-13K-SALB,6/6(0)
13 Jul 1928,"Purley, EnglandImperial Airways",Vickers 74 VulcanG-EBLB,4/6(0)
24 Jul 1928,"Waalhaven, NetherlandsKLM Royal Dutch Airlines",Fokker (KLM) F.IIIH-NABR,1/6(0)
25 Aug 1928,"Near Port Townsend, BC, CanadaBritish Columbia Airways",Ford 4-AT-B Tri MotorG-CATX,7/7(0)
02 Sep 1928,"Toul, FranceCIDNA",Bleriot Spad 33F-AIEP,5/5(0)
04 Sep 1928,"Adelaide Hills, AustraliaQantas",de Havilland DH.50JG-AUHI,1/2(0)
04 Sep 1928,"Pocatello, IdahoNational Parks Airways",Fokker Super UniversalNC7242,7/7(0)
06 Sep 1928,"Heroldbach, GermanyDeutsche Lufthansa",Fokker FG IIID-180,3/3(0)
04 Oct 1928,"Gerona, SpainAeropostale",Breguet 14F-AEEJF-AEEJ,3/3(0)
18 Oct 1928,"Polk, PennsylvaniaNational Air Transport",Douglas M-4NC1064,1/1(0)
31 Oct 1928,"Valence, FranceAir Union",Bleriot Spad 56F-AIMN,1/2(0)
15 Nov 1928,Off GibraltarAeropostale,Latecoere 32F-AISN,1/3(0)
24 Nov 1928,"Edgerton, OhioUniversal Airlines",Hamilton H-47NC7521,3/3(0)
25 Nov 1928,"Edgerton, OhioContinental Air Lines",Travel Air 4000NC5436,1/1(0)
25 Nov 1928,"Bristolville, OhioNational Air Transport",Douglas M-4NC792,1/1(0)
01 Dec 1928,"Spur, TexasSunbeam Air Transport Co.",Ford 4-AT-B Tri MotorNC7862,5/5(0)
03 Dec 1928,"Near Rio de Janeiro,BrazilSyndicato Condor",Dornier WalP-BACA,14/14(0)
10 Dec 1928,"Spokan, WashingtonSpokane Airways",Ford Tri-motor 4NC7687,5/5(0)
11 Dec 1928,"Letzlingen, GermanyDeutsche Lufthansa",Junkers G-31D-1473,3/4(0)
20 Dec 1928,"Huron, OhioNational Air Transport",Douglas M-4NC790,1/1(0)
23 Dec 1928,"Chattanooga, TennesseeInterstate Airlines",Fairchild FC-2?,4/4(0)
31 Dec 1928,"Reims, FranceCIDNA",Blériot Spad 66F-AEHX,2/3(0)
