Date,Location / Operator,Aircraft Type / Registration,Fatalities
03 Feb 1921,"Mendotta, MinnisotaUS Aerial Mail Service",De Havilland DH-4130,1/1(0)
09 Feb 1921,"La Crosse, WisconsinUS Aerial Mail Service",Junkers F-13301,3/3(0)
15 Feb 1921,Off GibraltarAeropostale,Breguet 14F-ALBA,2/2(0)
22 Feb 1921,"Elko, NevadaUS Aerial Mail Service",De Havilland DH-467,1/1(0)
06 Apr 1921,"Point Cook, AustraliaMilitary - Royal Australian Air Force",  	Avro 504H3021,2/2(0)
21 Apr 1921,"Mitchel Field, NYUS Aerial Mail Service",De Havilland DH-4160,1/1(0)
29 Apr 1921,"Cleveland, OhioUS Aerial Mail Service",De Havilland DH-4196,1/1(0)
17 May 1921,"Rock Springs, WyomingUS Aerial Mail Service",De Havilland DH-4De Havilland DH-4176,1/1(0)
14 Aug 1921,"Toulouse, FranceAeropostale",Breguet 14F-ALBI,2/2(0)
24 Aug 1921,"River Humber, EnglandMilitary - Royal Airship Works",Royal Airship Works ZR-2 (airship)R-38,46/46(1)
06 Sep 1921,"Paris, FranceFranco-Roumaine",Potez IXF-ADCD,5/5(0)
05 Dec 1921,"Near Murchinson River, AustraliaWest Australian Airways",Bristol 28 TourerG-AUDI,2/2(0)
