Date,Location / Operator,Aircraft Type / Registration,Fatalities
05 Jan 1950,"Sverdlovsk, RussiaMilitary - Soviet Air Force", Lisunov Li-2?,19/19(0)
18 Jan 1950,"Albacete, SpainEjercito del Aire",Junkers JU-52/3m?,16/16(0)
20 Jan 1950,"Near Vacas, BoliviaMilitary - Bolivian Air Force",Douglas C-47TAM-10,32/32(0)
24 Jan 1950,"Near Tamatave, MadagascarSociete Transatlantique Aerienne",Douglas C-47A-50-DLF-BFGD,14/14(0)
24 Jan 1950,"Iloilo,PhilippinesPhilippine Air Lines",Douglas DC-3PI-C22,4/4(0)
26 Jan 1950,"Near Snag, Yukon TerritoryMilitary - U.S. Air Force",Douglas C-54D-DC (DC-4)42-72469,44/44(0)
02 Feb 1950,North SeaKLM Royal Dutch Airlines,Douglas DC-3PH-TEU,7/7(0)
27 Feb 1950,"Near Prague, CzechoslovakiaCeskoslovenske Aerolinie",Douglas C-47A-15-DKOK-WDY,5/5(0)
07 Mar 1950,"Minneapolis, MinnesotaNorthwest Orient Airlines",Martin 202N93050,13/13(2)
10 Mar 1950,"Saigon, VietnamSociete Indochinoise de Transport Aeriens",Bristol 170 Freighter 21F-BECR,4/4(0)
12 Mar 1950,"Llandow Airport, Cardiff, WalesFairflight Ltd.",Avro 689 Tudor 5G-AKBY,80/83(0)
25 Mar 1950,"Ankara, TurkeyDevlet Hava Yollairi",Douglas DC-3TC-BAL,15/15(0)
28 Mar 1950,"Off Cap-Ferret, FranceSEMAF",Latecoere 631 (sea plane)F-WANU,12/12(0)
05 Apr 1950,"Hatiara, IndiaDeccan Airways",Douglas C-47AVT-CJD,3/3(0)
13 Apr 1950,"Near Hastings, EnglandBritish European Airways",Vickers 610 Viking 1BG-AIVL,0/32(0)
15 Apr 1950,"Santa Ana, ColombiaLineas Aéreas Nacionales",Douglas C-47 (DC-3)HK-309,25/25(0)
21 Apr 1950,"Near Atsugi, JapanMilitary - U.S. Air Force",Douglas C-54D42-72704,35/35(0)
02 May 1950,"Chimborazo, EcuadorAVIANCA",Douglas C-47DLHK-120,15/15(0)
17 May 1950,"Lagens Air Force Base, AzoresMilitary - U.S. Air Force",Boeing B-29?,16/16(0)
23 May 1950,"Myrtle Beach, South CarolinaMilitary - U.S. Air Force",Curtiss C-46D44-77577,39/39(0)
24 May 1950,"Near Pasto, ColombiaLANSA",Douglas C-47HK-307,25/26(0)
27 May 1950,"Teterboro, New JerseyRegina Cargo Airlines",Curtiss C-46F-1-CUN9406H,1/2(0)
30 May 1950,"Near Ilheus, BrazilAerovias Brasil",Douglas DC-3PP-AVZ,13/15(0)
05 Jun 1950,Atlantic Ocean off FloridaWestair Transport,Curtiss C-46-F-1-CUN1248N,28/65(0)
09 Jun 1950,"Near Fonseca, ColombiaNew Tribes Mission",Douglas DC-3-178N16030,15/15(0)
12 Jun 1950,Off BahrainAir France,Douglas DC-4-1009F-BBDE,46/52(0)
14 Jun 1950,Off BahrainAir France,Douglas DC-4-1009F-BBDM,40/53(0)
23 Jun 1950,"Lake Michigan, 18 NNW of Benton Harbor, MichiganNorthwest Orient Airlines",Douglas DC-4N95425,58/58(0)
26 Jun 1950,"York, AustraliaAnsett ANA",Douglas DC-4-1009VH-ANA,29/29(0)
07 Jul 1950,"Busan, South KoreaMilitary - U.S. Air Force",Douglas C-54G45-0518,23/23(0)
09 Jul 1950,"Casablanca, MoroccoAigle Azur",Douglas DC-3F-BFGL,22/29(0)
17 Jul 1950,"Near Pathankot, IndiaIndian National Airlines",Douglas DC-3VT-ATS,22/22(0)
18 Jul 1950,"Near Bocoio, AngolaDTA Angola Airlines",Douglas DC-3CR-LBK,9/9(0)
27 Jul 1950,"Off O-shima Island, JapanMilitary - U.S. Air Force",Douglas C-47D44-76439A,25/26(0)
28 Jul 1950,"Porte Alegre, BrazilPanair do Brasil",Lockheed 049 ConstellationPP-PCG,50/50(0)
29 Jul 1950,"Tunbukta, AlgeriaCie Air Transport",Bristol 170 Freighter 21F-BENF,26/26(0)
30 Jul 1950,"Algrete, BrazilSAVG (S.A. Viacao Gaucha, )SAVG",??,10/?(?)
30 Jul 1950,"Karaganda, RussiaAeroflot",Ilyushin IL-12L-1803,25/25(0)
05 Aug 1950,"Near Fairfield, CaliforniaMilitary - U.S. Air Force",Boeing B-29MR46-87651,12/20(7)
22 Aug 1950,"Near Eagle, ColoradoAmerican Airlines",Douglas DC-6N90705,1/59(0)
25 Aug 1950,"Kampong Jenera, MalaysiaMilitary - Royal Air Force",Douglas C-47BKN630,12/12(0)
31 Aug 1950,"Near Wadi Natrun, EgyptTrans World Airlines",Lockheed 749A ConstellationN6004C,55/55(0)
04 Sep 1950,"Utica, New YorkRobinson Airlines",Douglas DC-3N18936,16/23(0)
14 Sep 1950,"Tehran, IranIran Air",Douglas DC-3EP-AAG,8/8(0)
20 Sep 1950,"Kwajalein, Marshall IslandsMilitary - U.S. Navy",Douglas R5D-356496,26/26(0)
21 Sep 1950,"Near Zagreb, YugoslaviaJAT Yugoslav Airlines",Douglas DC-3YU-ABD,10/11(0)
23 Sep 1950,"Karlstad, SwedenSvenska Aero",Avro Ninteen ISE-BRS,10/10(0)
26 Sep 1950,"Near Kyushu Island, JapanMilitary - U.S. Air Force",Douglas C-54D-DC (DC-4)42-72457,23/51(0)
13 Oct 1950,"Almelund, MinnisotaNorthwest Orient Airlines",Martin 202NC93037,6/6(0)
13 Oct 1950,"Casablanca, MoroccoAir Atlas",Douglas DC-3F-BAXM,4/7(0)
17 Oct 1950,"London, EnglandBritish European Airways",Douglas C-47AG-AGIW,28/29(0)
31 Oct 1950,"London Heathrow, EnglandBritish European Airways",Vickers 610 Viking-1BG-AHPN,28/30(0)
03 Nov 1950,"Mont Blanc, FranceAir India",Lockheed 749 ConstellationVT-CQP,48/48(0)
07 Nov 1950,"Near Butte, MontanaNorthwest Orient Airlines",Martin 202N93040,21/21(0)
13 Nov 1950,"Mt.  Tete de L'Obiou, FranceCurtiss-Reid Flying Services Ltd. (Canada)",Douglas C-54B-1-DCCF-EDN,52/52(0)
17 Nov 1950,"Surabaya, IndonesiaGaruda Indonesia Airlines",Douglas DC-3PK-DPB,2/23(0)
21 Nov 1950,"Near Moran Junction, WyomingNew Tribes Mission",Douglas DC-3N74586,21/21(0)
23 Nov 1950,"Cuzco, PeruFaucett",Douglas DC-3OB-PAU-201,9/9(0)
25 Nov 1950,"Khitka, BhutanIndamer",Douglas C-47AVT-COI,3/3(0)
01 Dec 1950,"Near Chamaran, IranIran Air",Douglas DC-3EP-AAJ,8/8(0)
08 Dec 1950,"Ruig Piner, FranceAir Atlas",Douglas DC-3F-BAXY,5/7(0)
08 Dec 1950,"Bangui, French Equatorial AfricaT.A. Intercontinentaux",Douglas C-54AF-BELB,46/56(0)
13 Dec 1950,"Katagiri, IndiaAir India",Douglas DC-3VT-CFK,21/21(0)
13 Dec 1950,"Londrina, BrazilVASP",Douglas DC-3PP-SPT,9/9(3)
14 Dec 1950,"Ribeirao, BrazilVASP",Douglas DC-3?,1/1(3)
15 Dec 1950,"Valera, VenezuelaAvensa",Douglas C-47-DLYC-C-AVU,31/31(0)
19 Dec 1950,"Near Baguio, PhilippinesMilitary - U.S. Air Force",Douglas C54E-DO (DC-4)44-9096,38/38(0)
22 Dec 1950,"Penticton, British Columbia, CanadaCanadian Pacific Air Lines",Douglas DC-3CF-CUF,2/18(0)
30 Dec 1950,"Santiago del Estado, ArgentinaAerolineas Argentinas",Douglas DC-3LV-ACH,17/18(0)
