Date,Location / Operator,Aircraft Type / Registration,Fatalities
16 Jan 2017,"Bishkek, KyrgyzstanMy Cargo Airlines (ACT Airlines)",Boeing 747-412FTC-MCL,4/4(35)
21 Feb 2017,"Melbourne, Victoria, AustraliaAustralian Corporate Jet Centres PTY. LTD",Beechcraft B200 Super King AirVH-ZCR ,5/5(0)
10 Mar 2017,"Istanbul, TurkeySwan Aviation",Sikorsky S-76CTC-HEZ,7/7(0)
27 Mar 2017,"Mautaer, ZimbabweETA Air Charter",Britten-Norman BN2 IslanderC9-AOV,6/6(0)
05 May 2017,"Charleston, West VirginiaAir Cargo Carriers",Shorts 300-200N334AC,2/2(0)
27 May 2017,"Tenzing, NepalSummit Air",Let L-410UVP-E209N-AKY,2/3(0)
07 Jun 2017,"Off Dawei, MyanmarMilitary - Myanmar Air Force",Shaanxi Y-8F-200W5820,122/122(0)
28 Jun 2017,"Mount Gambier, South AustraliaAngel Flight",Socata TB1-10 TobagoVH-YTM,3/3(0)
10 Jul 2017,"Near Itta Bena, MississipiUSMC",Lockheed KC-130T Hercules165000,16/16(0)
30 Sep 2017,"Near Kinshasa, CongoAir Force of the Democratic Republic of the Congo",Antonov An-12BEX-001,8/8(0)
12 Oct 2017,"Near Cuílo, AngolaGuicango",Embraer EMB-120ERD2-FDO,7/7(0)
14 Oct 2017,"Abidjan, Ivory CoastValan International Cargo Charter",Antonov AN-26-100ER-AVB,4/10(0)
15 Nov 2017,"Empakaai, TanzaniaCostal Aviation",Cessna 208B Grand Caravan5H-EGG,11/11(0)
13 Dec 2017,"Near Fond-du-Lac, SaskatchewanWest Wind Aviation",ATR42-320C-GWEA,1/25(0)
31 Dec 2017,"Punta Islita, Costa RicaNaure Air",Cessna 208B Grand CaravanTI-BEI,12/12(0)
