Date,Location / Operator,Aircraft Type / Registration,Fatalities
08 Jan 2016,"Akkajaure Lake, Norrbotten, SwedenWest Air Sweden",Canadair CRJ-200SE-DUX,2/2(0)
02 Feb 2016," Near Mogadishu, SomaliaDaallo Airlines",Airbus A321-111SX-BHS,1/72(0)
24 Feb 2016,"Dana, NepalTara Air",de Havilland DHC-6 Twin Otter 4009N-AHH,23/23(0)
26 Feb 2016,"250 miles northwest of Kathmandu, NepalKasthamandap Airlines",PAC 750XL9N-AJB,2/11(0)
09 Mar 2016,"Cox's Bazar, BangladeshTrue Aviation Ltd.",Antonov AN-26 S2-AGZ,3/4(0)
15 Mar 2016,"Fatima Pastaza, EcuadorMilitary - Ecuador Army",IAI Attava 201 E-206,22/22(0)
19 Mar 2016,"	Rostov-on-Don, RussiaFlydubai",	Boeing 737-8KN (WL)A6-FDN,62/62(0)
29 Mar 2016,"Magdelen Islands, Quebec, CanadaMarquise Aviation Corp.",Mitsubishi MU-2B 60 MarquiseN246W,7/7(0)
04 Apr 2016,"Near Pigeon Forge, TennesseeSmoky Mountain Helicopters",Bell 206LN16760,5/5(0)
13 Apr 2016,"Kiunga, Papua New GuineaSunbird Aviation",Britten-Norman IslanderP2-SBC,12/12(0)
29 Apr 2016,"Sorta, Norway	CHC Helikopter Service",	Eurocopter EC225LP Super Puma M2+ 	LN-OJF,13/13(0)
19 May 2016,175 miles off the Egyptian coastEgyptAir,Airbus A320-232SU-GCC,66/66(0)
22 Jul 2016,"Bay of Bengal, Indian OceanIndian Air Force",Antonov 32K2743,29/29(0)
30 Jul 2016,"Near Lockhart, TexasHeart of Texas Hot Air Balloon Rides", Kubicek BB85Z Hot Air BalloonN2469L,16/16(?)
05 Aug 2016,"Dubai, United Arab EmiratesEmirates",Boeing 777-31HA6-EMW,0/300(1)
31 Aug 2016,"Russian Mission, AlaksaHageland Aviiation",Cessna 208 Grand Caravan	N752RV,5/5(0)
24 Oct 2016,Malta International AirportAE Aviation,Swearingen SA277-AT ExpditerN577MX,5/5(0)
28 Nov 2016,"Near La Union, ColombiaLAMIA Bolivia",Avro RJ-85CP-2933,71/77(0)
03 Dec 2016,"Near Tanjung Pinanga, IndonesiaIndonesian Police",M28 SkytruckP-4201,13/13(0)
07 Dec 2016,"Near Havlien, PakistanPakistan International Airlines",ATR-42-500AP-BHO,48/48(0)
18 Dec 2016,"Near Wamena, Papua, IndonesiaIndonesian Air Force", 	Lockheed C-130H Hercules  	A-1134,13/13(0)
20 Dec 2016,"Puerto Carreno, ColombiaAerosucre Colombia",Boeing 727-2JOFHK-4544,5/6(0)
25 Dec 2016,"Near Adar, RussiaRussian Air Force",Tupolev 154B-2RA-85572,92/92(0)
