Date,Location / Operator,Aircraft Type / Registration,Fatalities
02 Jan 1990,"Java Sea, IndonesiaPelita Air Service",CASA 212 Aviocar 200PK-PCM,9/16(0)
13 Jan 1990,"Near Pervouralsk, RussiaAeroflot",Tupolev TU-134ACCCP-65951,27/71(0)
15 Jan 1990,"Pico Blanco, Costa RicaSANSA",CASA 212 Aviocar 200TI-SAB,23/23(0)
17 Jan 1990,"Near Leadville, ColoradoFederal Express",Cessna 208A Caravan I CargomasterN835FE,1/1(0)
23 Jan 1990,"Near Caracas, VenezuelaMilitary - Venezuelan Navy",CASA 212-200 AviocarARV-0210,25/25(0)
25 Jan 1990,"Mt Rijani, Lombok Island, IndonesiaAirfast Services",Hawker Siddeley HS-748-2APK-OBW,19/19(0)
25 Jan 1990,"Cove Neck, New YorkAVIANCA",Boeing B-707-321BHK 2016,73/158(0)
26 Jan 1990,"Zavkhan, MongoliaMIAT - Mongolian Airlines",Antonov AN-26V	 BNMAU-10208,30/30(0)
27 Jan 1990,"Near Kinkala, CongoMilitary - Congolese Air Force",Nord 262C-66TN-230,28/28(0)
29 Jan 1990,"Burlington, VermontAirborne Express",Cessna 208B Caravan IN4688B,2/2(0)
29 Jan 1990,"Plattsburgh, New YorkWiggins Airways",Cessna 208B Caravan I Super CargomasterN854FE,1/1(0)
05 Feb 1990,"Near Ibague, ColombiaHelicopteros Nacionales de Colombia",Grumman G-159 Gulfstream IHK-3315X,15/15(0)
12 Feb 1990,"Bauru, BrazilTAM (Brazil)",Fokker 27 Friendship 200PT-LCG,2/40(2)
14 Feb 1990,"Near Bangalore, IndiaIndian Airlines",Airbus A320-231VT-EPN,92/146(0)
17 Feb 1990,"Near Ngwerere, ZambiaMilitary - Zambian Air Force",DHC-5 BuffaloAF316,29/29(0)
27 Feb 1990,"Denver, ColoradoFederal Express",Cessna 208A Caravan I CargomasterN820FE,1/1(0)
01 Mar 1990,"Near Meerut, IndiaMilitary - Indian Air Force",MiG-23?,0/1(50)
12 Mar 1990,"Off Freetown, Sierre LeoneHelicsa",Sikorsky S-58ET (helilcopter)EC-DDR,11/13(0)
21 Mar 1990,"Las Mesitas, HondurasTAN Honduras",Lockheed L-188CF ElectraHR-TNL,3/3(0)
23 Mar 1990,Santiago de CubaCubana de Aviacion,Antonov AN-26CU-T1436,4/46(0)
27 Mar 1990,"Kabul, AfghanistanAeroflot",Ilyushin IL-76MDCCCP-78781,11/11(0)
27 Mar 1990,"Near Kuito, AngolaMilitary - Angolan Air Force",CASA 212 Aviocar 300T-410,25/25(0)
12 Apr 1990,"Off Vaeroy, NorwayWideroe's Flyveselksap",de Havilland Canada DHC-6 Twin Otter 300LN-BNS,5/5(0)
18 Apr 1990,"Off Contadora, PanamaAeroperlas",de Havilland Canada DHC-6 Twin Otter 200N187AS,20/22(0)
20 Apr 1990,"Near Kinshasa, ZaireMilitary - Zairean Air Force",Lockheed C-130H9T-TCG,20/24(0)
26 Apr 1990,"Near Manila, PhilippinesMATS - Manila Aero Transport System",Douglas DC-3 (C-47A-30-DK)RP-C81,7/24(0)
30 Apr 1990,"Ship Sands Island, ON, CanadaFrontier Air",Beechcraft C99C-FGAW,1/4(0)
30 Apr 1990,"Tarbert, EnglandMilitary - Royal Air Force",Avro Shackleton AEW-2WR965,10/10(0)
05 May 1990,"Guatamala City , GuatemalaAerial Transit Company",Douglas DC-6BFN84BL,3/3(24)
10 May 1990,"Tuxtla-Gutierrez, MexicoAvicsa",Fairchild F-27F-GHXA,20/40(0)
11 May 1990,"Near Wurzburg , GermanyMilitary - Luftwaffe",Transall C-160D50-39,10/10(0)
11 May 1990,"Manila, PhilippinesPhilippine Air Lines",Boeing B-737-3Y0EI-BZG,8/119(0)
18 May 1990,"Manila, PhilippinesAerolift Philippines",Beechcraft 1900C-1RP-C314,21/21(4)
06 Jun 1990,"Near Altamira, BrazilTABA",Fairchild FH-227BPT-ICA,23/42(0)
06 Jun 1990,"Thistle Lake, Northwest Territory, CanadaPtarmigan Airways",de Havilland Canada DHC-6 Twin Otter 300C-FWAB,2/2(0)
10 Jun 1990,"Oxfordshire, EnglandBritish Airways",BAC One-Eleven 528FLG-BJRT,0/85(0)
05 Jul 1990,"Near Port Morseby, New GuineaDouglas Airways",Britten-Norman 2B-21 IslanderP2-DNJ,8/12(0)
27 Jul 1990,"Near Maymaneh, AfghanistanMilitary - Afghan Republican Air Force",Mil Mi-8 (helicopter)?,30/30(0)
31 Jul 1990,"Near Huanuco, PeruServicio Expresso Nacional",Beech King Air B90OB-1362,9/9(0)
01 Aug 1990,"Stepanakert, Azerbaijan, USSRAeroflot",Yakovlev YAK-40CCCP-87453,47/47(0)
10 Aug 1990,"Near Shindand, AfghanistanMilitary - Afghan Republican Air Force",Antonov AN-12?,83/83(0)
27 Aug 1990,"Elkhorn, WisconsinPrivate - Omniflight Helicopters",Bell BHT-206-B HelicopterN16933,5/5(0)
29 Aug 1990,"Near Kaiserslautern, GermanyMilitary - U.S. Air Force",Lockheed C-5A68-0228,13/17(0)
03 Sep 1990,"Kaltag, AlaskaFrontier Flying Service",Piper PA-31-325 NavajoN59783,3/10(0)
11 Sep 1990,"Off Newfoundland, CanadaFaucett",Boeing B-727-247OB-1303,18/18(0)
12 Sep 1990,"Off Sondre Stromfjord, GreenlandNuna Air",Cessna 441 Conquest IIOY-CGM,8/8(0)
14 Sep 1990,"Koltsovo, RussiaAeroflot",Yakovlev YAK-42CCCP-42351,4/128(0)
20 Sep 1990,"Off Fernando de Noronha, BrazilSUDENE",Embraer 110P1 BandeirantePT-FAW,12/12(0)
24 Sep 1990,"San Luis Obispo, CaliforniaHiTech Helicopters",Cessna 501 CitationN79DD,4/4(0)
02 Oct 1990,"Guangzhou, ChinaChina Southern Airlines / Xiamen Airlines",Boeing B-737-247 / Boeing B-757-21BB-2812/B-2510,128/226(0)
03 Oct 1990,"Cape Canaveral, FloridaEastern Air Lines",McDonnell Douglas DC-9-31N8923E,1/97(0)
19 Oct 1990,"Near Bella Vista, BoliviaBAFIN",Douglas C-47B-40-DKCP-735,4/4(0)
24 Oct 1990,"Santiago de Cuba, CubaCubana de Aviacion",Yakovlev YAK-40CU-T1202,11/31(0)
