Date,Location / Operator,Aircraft Type / Registration,Fatalities
02 Jan 2006,Near KarkovEvolga,British Aerospace BAe-125-700AP4-AOD,3/3(0)
07 Jan 2006,"Near Tal Afar, IraqMilitary - US Army",UH-60L Black Hawk91-26346,12/12(0)
08 Jan 2006,"Bukalaza, UgandaService Air",Antonov 129Q-CIH,6/6(0)
09 Jan 2006,"Near Orumiyeh, IranMilitary - Iranian Revolutionary Guard Corps Air Force",Dassault Falcon 2015-2233,11/11(0)
19 Jan 2006,"Near Telkibanya, HungaryMilitary - Slovak Air Force",Antonov AN-24V5605,42/43(0)
05 Feb 2006,"Near Watertown, WisconsonAir Cargo Carriers",Shorts 360-100 /Shorts 360-300N3735W/N372AC,3/3(0)
08 Feb 2006,"Near Paris, TennesseeTriCoastal Air",Swearingen SA.226TC Metro IIN629EK,1/1(0)
31 Mar 2006,"Rio Bonito, BrazilTeam Air",Let L410UVP-E20PT-FSE,19/19(0)
10 Apr 2006,"Marsabit, KenyaMilitary - Kenya Air Force",Harbin Yunshuji Y-12-II132,14/17(0)
23 Apr 2006,"Kousséri, CameroonMilitary - Lybian Arab Air Force",Antonov 74TK-200UR-74038,6/6(0)
24 Apr 2006,"Lashkar Gah, AfghanistanU.S. Government (leased)",Antonov AN-32BZS-PDV,2/16(3)
03 May 2006,"Off Adler, RussiaArmavia",Airbus A320-211EK-32009,113/113(0)
14 May 2006,"La Ronge, SaskatchewanSaskatchewan Government Northern Air Operations",Convair CV-580C-GSKJ,1/3(0)
23 May 2006,Off São Tomé IslandAir São Tomé,de Havilland Canada DHC-6 Twin Otter 300S9-BAL,4/4(0)
03 Jun 2006,"Yaocun, ChinaMilitary - Chinese Air Force",KJ-2000?,40/40(0)
11 Jun 2006,"Abéché, ChadMilitary - Chadian Air Force",Lockheed C-130 HerculesTT-PAF,5/7(0)
21 Jun 2006,"Jumla, NapalYeti Airlines",de Havilland Canada DHC-6 Twin Otter 3009N-AEQ,9/9(0)
07 Jul 2006,"Sake, Democratic Republic CongoMango Airlines",Antonov AN-12B9Q-CVT,5/5(0)
09 Jul 2006,"Irkutsk, RussiaSibir (S7)",Airbus A-310-324ETF-OGYP,125/203(0)
10 Jul 2006,"Multan, PakistanPakistan International Airlines",Fokker F-27 Friendship 200AP-BAL,45/45(0)
27 Jul 2006,AfghanistanAfghan Army,Mil Mi-8?,17/17(0)
03 Aug 2006,"Bukavu, Democratic Republic CongoTracep",Antonov AN-289Q-COM,17/17(0)
04 Aug 2006,"Near Pownal, VermontAirNow",Embraer 110 BandeiranteN59BA,1/1(0)
13 Aug 2006,"Near Piacenza, ItalyAir Algerie",Lockheed L-100-30 Hercules7T-VHG,3/3(0)
22 Aug 2006,"Near Donetsk, UkrainePulkovo Airlines",Tupolev Tu-154MRA-85185,170/170(0)
27 Aug 2006,"Lexington, KentuckyComair",Canadair CRJ-200ERN431CA,49/50(0)
01 Sep 2006,"Mahad, IranIran Air Tours",Tupolev Tu-154MEP-MCF,29/148(0)
02 Sep 2006,"Near Kandahar, AfghanistanMilitary - Royal Air Force",British Aerospace Nimrod MR-2XV-230,14/14(0)
11 Sep 2006,"Vladikavkaz, RussiaMilitary - Russian Army",Mi-8 helicopter?,12/15(0)
17 Sep 2006,"Vandeikya, NigeriaMilitary - Nigerian Air Force",Dornier 228NAF033,13/18(0)
29 Sep 2006,"Near Sao Felix do Araguaia , BrazilGol Airlines / Private",Boeing B-737-8EH /EMB-135JBPR-GTD / N600XL,154/161(0)
10 Oct 2006,"Stord, NorwayAtlantic Airways",BAe 146-200OY-CRG,4/16(0)
19 Oct 2006,"Tashkent, RussiaMilitary - Russian Air Force/Uzbekistan Airways",Antonov An-2UK-70152,15/15(0)
29 Oct 2006,"Near Abuja, NigeriaADC Airlines",Boeing 737-2B75N-BFK,96/105(0)
17 Nov 2006,"Puncak Jaya, IndonesiaTrigana Air Service",de Havilland Canada DHC-6 Twin Otter 300PK-YPY,12/12(0)
18 Nov 2006,"Near Leticia, ColombiaAerosucre Colombia",Boeing 727-23FHK-3667X,5/5(0)
27 Nov 2006,"Tehran, IranMilitary - Iranian Revolutionary Guard Corps Air Force",Antonov 74T-20015-2255,38/38(0)
10 Dec 2006,"Cajon Pass, CaliforniaAir ambulance - Mercy Air Services",Bell 412N410MA,3/3(0)
