Date,Location / Operator,Aircraft Type / Registration,Fatalities
08 Jan 1996,"Off Bridgetown, BarbadosMustique Airways",Britten-Norman BN-2A-27 IslanderJ8-VAK,1/10(0)
08 Jan 1996,"Kinshasa, ZaireAfrican Air",Antonov AN-32BRA-26222,2/6(225)
18 Jan 1996,"Near Kano, NigeriaMilitary - Nigerian Air Force",British Aerospace BAe-125-700B5N-AXO,14/14(0)
22 Jan 1996,"Off Point Pedro, Sri LankaMilitary - Sri Lanka Air Force",Mil Mi-17 (helicopter)CH-587,39/39(0)
04 Feb 1996,"Asuncion, ParaguayLineas Aereas del Caribe",McDonnell Douglas DC-8-55FHK-3979X,4/4(24)
05 Feb 1996,"St. Johns, ArizonaBusiness Air Connection",ConvairCV-440N131T,4/4(0)
06 Feb 1996,"Off Puerto Plata, Domincan RepublicAlas Nacionales, leased from Birgen Air",Boeing B-757-225TC-GEN,189/189(0)
11 Feb 1996,"Near Kandahar, AfghanistanMilitary - Taliban Militia",??,20/20(0)
12 Feb 1996,"Port-au-Prince, HatiHati Express",GAF Nomad N-24AN224E,11/15(0)
26 Feb 1996,"Near Jabal Awliya, SudanMilitary - Sudanese Air Force",Lockheed C-130H?,91/91(0)
27 Feb 1996,"Near Lukapa, AngolaAero Tropical",Antonov 12BPER-ACE,8/8(0)
29 Feb 1996,"Arequipa, PeruCompania de Aviacion Faucett SA (Peru)",Boeing B-737-222OB-1451,123/123(0)
09 Mar 1996,"Near Mesones Muro, PeruMilitary - Peruvian Army Aviation",Mil Mi-17EP561,23/23(0)
12 Mar 1996,"Karabogazgol Bay, TurkmenistanAkhal Air",Mil Mi-8T (helicopter)EZ-22684,12/12(0)
03 Apr 1996,"Near Dubrovnik, CroatiaMilitary - U.S. Air Force",Boeing B-737-T4373-1149,35/35(0)
05 Apr 1996,"Near Petropavlovsk, RussiaKrasnoyarskie Avialinii",Ilyushin IL-76TDRA-76752,20/20(0)
05 Apr 1996,"Off Matsu Island, TaiwanFormosa Airlines",Dornier 228-212B-12257,6/17(0)
11 Apr 1996,"Cheyenne, WyomingPrivate",Cessna 177BN35207,3/3(0)
03 May 1996,"Near Haj Yousif, SudanFederal Airlines",Antonov AN-24ST-FAG,53/53(0)
09 May 1996,"Near Terrace, British Columbia, CanadaBuffalo Narrows Airways",de Havilland Canada DHC-3 OtterC-GDOB,2/2(0)
10 May 1996,"Otaez, MexicoAeroservicios Empresariales de Durango",de Havilland Canada DHC-6 Twin Otter 200XA-SWJ,16/19(0)
11 May 1996,"Everglades, Miami, FloridaValuJet",McDonnell Douglas DC-9-32N904VJ,110/110(0)
11 May 1996,"Oumba, Papua New GuineaMilne Bay Air",Britten Norman BN-2A-20 TrislanderP2-ISD,1/10(0)
19 May 1996,"Griesta, United KingdomLoganair",Britten-Norman BN-2A-26 IslanderG-BEDZ,3/3(0)
06 Jun 1996,"Kinshasa, Democratic Republic CongoHoseba",Ilyushin 76MDUR-76539,10/10(0)
09 Jun 1996,"Rasht, IranIran Air",Boeing 727-286EP-IRU,7/7(0)
12 Jun 1996,"Near Rollingstone, Queensland  AustraliaMilitary - Australian Army Aviation",Sikorsky S-70 / Sikorsky S-70A25-113/A25-209,18/28(0)
13 Jun 1996,"Fukuoka, JapanGaruda Indonesia Airlines",McDonnell Douglas DC-10-30PK-GIE,3/275(0)
21 Jun 1996,"Shanghai, ChinaChina Flying Dragon Aviation (Feilong Airlines)",Harbin Yunshuji Y-12-IIB-3822,2/12(0)
06 Jul 1996,"Pensacola, FloridaDelta Air Lines",McDonnell Douglas MD-88N927DA,2/142(0)
09 Jul 1996,"Papua, New GuineaMilne Bay Air",de Havilland Canada DHC-6 Twin Otter 300P2-MBB,20/20(0)
11 Jul 1996,"Near Kanda, IndiaArchana Airlines",Let 410VT-ETC,9/9(0)
15 Jul 1996,"Near Eindhoven, The NetherlandsMilitary - Belgian Air Force",Lockheed C-130HCH-06,34/41(0)
17 Jul 1996,"Near Playa del Carmen, MexicoAerolatino (Aerocaribe)",de Havilland Canada DHC-6 Twin Otter 300XA-TCF,1/18(0)
17 Jul 1996,"Off East Moriches, New YorkTrans World Airlines",Boeing B-747-131N93119,230/230(0)
20 Jul 1996,"Russian Mission, AlaskaNorthern Air Cargo",Douglas DC-6AN313RS,4/4(0)
24 Jul 1996,"Near Mergui, ManmarMyanmar Airways",Fokker F-27 Friendship 600XY-AET,8/49(0)
12 Aug 1996,"Markham Bay, CanadaFirst Air",de Havilland Canada DHC-6 Twin Otter 300C-GNDN,2/2(0)
14 Aug 1996,"Near Bronson Creek, British Columbia, CanadaAir North",Douglas DC-4C-FGNI,1/3(0)
17 Aug 1996,"Near Jackson Hole, WyomingMilitary - U.S. Air Force",Lockheed C-130H Hercules74-1662,9/9(0)
18 Aug 1996," Near Alliford Bay, British Columbia, Canada2Harbour Air",de Havilland Canada DHC-3 Turbo OtterC-GCMY,3/3(0)
19 Aug 1996,"Belgrade, YugosalviaSpair Air Transport",Ilyushin IL-76TRA-76513,12/12(0)
29 Aug 1996,"Near Longyearbyen, NorwayVnokovo Airlines",Tupolev TU-154MRA-85621,141/141(0)
25 Sep 1996,"Waddenzee, NetherlandsDutch Dakota Association",Douglas DC-3CPH-DDA,32/32(0)
02 Oct 1996,"Off Pasamayo, PeruAeroperu",Boeing B-757-200N52AW,70/70(0)
03 Oct 1996,"Kahemba, CongoMalu Aviation",de Havilland Canada DHC-6 Twin Otter 2009Q-CXK,6/21(0)
06 Oct 1996,"Lukapa, AngolaSavanair",Antonov 12BRA-11101,6/19(0)
08 Oct 1996,"San Francesco al Campo, ItalyAeroflot",Antonov An-124RA-82069,2/23(2)
22 Oct 1996,"Manta, EcuadorMillion Air",Boeing B-707-323CN751MA,4/4(30)
26 Oct 1996,"Khanty, RussiaTyumen Aviatrans",Yakovlev YAK-40RA-88527,5/34(0)
31 Oct 1996,"Sao Paolo, BrazilTAM (Brazil)",Fokker 100PT-MRK,95/95(3)
01 Nov 1996,"Near Tikal, GuatemalaTransported Areos Profesionales - TAPSA",Embraer 110P1 BandeiranteTG-TPA,16/16(0)
07 Nov 1996,"Lagos, NigeriaAviation Development Corporation",Boeing B-727-2315N-BBF,143/143(0)
07 Nov 1996,"Aubusson, FranceJetcom S.A.",Cessna 421C Golden EagleHB-LRX,8/8(0)
12 Nov 1996,"Near Charkhi Dadri, IndiaSaudi Arabian Airlines / Kazakhstan Airlines",Boeing B-747-168B / Ilyushin IL-76TDHZ-AIH/UN-76435,349/349(0)
14 Nov 1996,"Bolchaïa Pyssa, RussiaKomi Avia",Antonov AN-2RA-40309,14/15(0)
19 Nov 1996,"Quincy, IllinoisUnited Express  / Private",Beechcraft 1900-C / Beech King Air A90N87GL / N1127D,14/14(0)
22 Nov 1996,"Off Cape Mendocino, CAMilitary - U.S. Air Force",Lockheed HC-130P Hercules64-14856,10/11(0)
23 Nov 1996,"Off Mitsamiouli, ComorosEthiopian Airlines",Boeing B-767-260ERET-AIZ,127/175(0)
27 Nov 1996,"Abakan, Siberia, RussiaMilitary - Russian Air Force",Ilyushin IL-76MDRA-76804,23/23(0)
30 Nov 1996,"Medellin, ColombiaACES Colombia",de Havilland Canada DHC-6 Twin Otter 300HK-2602,14/15(0)
07 Dec 1996,"Banjarmasin, IndonesiaDirgantara Air Services",CASA 212 Aviocar 100PK-VSO,16/17(2)
09 Dec 1996,"Boise, IdahoEmery Worldwide",Douglas C-47AN75142,2/2(0)
17 Dec 1996,"Tver, RussiaMilitary - Russian Air Force",Antonov AN-12?,18/18(0)
21 Dec 1996,"Rio Negro, ColombiaSELVA",Antonov An-32BHK-4008X,4/4(0)
22 Dec 1996,"Narrows, VirginiaAirborne Express",McDonnell Douglas DC-8-63FN827AX,6/6(0)
24 Dec 1996,"Dorchester, New HampshireAircraft Charter Group Inc",Learjet 35AN388LS,2/2(0)
24 Dec 1996,"Near Nellore, IndiaMilitary - Indian Air Force",Hindustan Aeronautics 748-2H1032,22/22(0)
