Date,Location / Operator,Aircraft Type / Registration,Fatalities
18 Jan 1986,"Near Peten, GuatemalaAerovias de Guatemala SA",Sud-Aviation  Caravelle VI-NHC-BAE,94/94(0)
21 Jan 1986,"Ellendale, MinnesotaAir Taxi",Bell 296BN1498W,3/3(0)
28 Jan 1986,"Sao Paulo, BrazilVASP",Boeing B-737-2A1PP-SME,1/72(0)
29 Jan 1986,"Las Lomitas, MexicoAerocalifornia",Douglas DC-3A-178XA-IOR,21/21(0)
05 Feb 1986,"Kasongo, ZaireGLM Aviation",Lockheed L-188AF Electra9Q-CWT,2/14(0)
16 Feb 1986,"Off Makung, TaiwanChina Airlines (Taiwan)",Boeing B-737-281B-1870,13/13(0)
02 Mar 1986,"Near Bugulma, RussiaAeroflot",Antonov AN-24BCCCP-46423,38/38(0)
13 Mar 1986,"Alpena, MichiganSimmons Airlines",Embraer 110P1 BandeiranteN1356P,3/9(0)
20 Mar 1986,"Near Naha, IndonesiaMerpati Nusantara Airlines",CASA 212 Aviocar 100PK-NCF,2/16(0)
24 Mar 1986,"Goose Bay, Newfoundland, CanadaGoose Bay Air Services",de Havilland Canada DHC-3 OtterC-FAGM,4/5(0)
25 Mar 1986,"Omsk, Soviet UnionMinisterstvo Obshchestvo Mashinostroyeniya",Antonov An-12APCCCP-11795,9/9(0)
27 Mar 1986,"Bangui, Central African RepublicMilitary - French Air Force",Sepecat Jaguar A?,0/0(35)
30 Mar 1986,"Near Pemba, MozambiqueMilitary - Mozambique Air Force",Antonov AN-26042,49/54(0)
31 Mar 1986,"Maravatio, MexicoMexicana",Boeing B-727-264XA-MEM,167/167(0)
02 Apr 1986,"Near Athens, GreeceTrans World Airlines",Boeing B-727N54340,4/121(0)
02 Apr 1986,"Near Magdalena, New MexicoMilitary - U.S. Air Force",Lockheed HC-130P Hercules66-0211,11/11(0)
27 Apr 1986,"Near Saravena, ColombiaACES Colombia",de Havilland Canada DHC-6 Twin Otter 300HK-2761,13/13(0)
01 May 1986,"San Salvador, El SalvadorMilitary - El Salvador Air Force",Douglas DC-6FAS-302,37/37(0)
03 May 1986,"Colombo, Sri LankaAir Lanka",Lockheed L-1011-1004R-ULD,22/150(0)
03 May 1986,"Near Taipei, TaiwanMilitary - Republic of China Air Force",Bell UH-1H / Bell UH-1H (helicopters)?,22/22(0)
18 May 1986,"Djibouti, DjiboutiMilitary - French Naval Aviation",Dassault Breguet Atlantique19,19/19(0)
24 May 1986,"Antananarivo, MadagascarMilitary - Armée de l'Air Malgache",Douglas C-47?,13/13(0)
10 Jun 1986,"Near Cairo, EgyptEgyptAir",Fokker F-27 Friendship 500SU-GAD,23/26(0)
12 Jun 1986,"Port Ellen, Islay IslandLoganair",de Havilland Canada DHC-6 Twin Otter 300G-BGPC,1/16(0)
