Date,Location / Operator,Aircraft Type / Registration,Fatalities
01 Jan 1978,"Off Bandra, Maharashtra, IndiaAir India",Boeing B-747-237BVT-EBD,213/213(0)
27 Jan 1978,"Near San Vincente, ColombiaSADELCA",Douglas DC-3HK-1351X,14/14(0)
31 Jan 1978,"Eirunepe, BrazilTABA",Embraer 110P BandeirantePT-GKW,2/14(0)
10 Feb 1978,"Near Artigas, UruguayUruguayan Air Force",Douglas C-47A-DLT511,44/44(0)
10 Feb 1978,"Richland, WashingtonColumbia Pacific Airlines",Beechcraft 99N199EA,17/17(0)
11 Feb 1978,"Cranbrook, British Columbia, CanadaPacific Western Airlines",Boeing B-737-275C-FPWC,42/49(0)
28 Feb 1978,"Solvang, CaliforniaSecurity Air",Aero Commander 500AN6143X,7/7(0)
01 Mar 1978,"LAX, Los Angeles, CaliforniaContinental Airlines",McDonnell Douglas DC-10-10N68045,2/200(0)
02 Mar 1978,"Kano, NigeriaNigeria Airways",Fokker F-28 Fellowship 1000 / MiG-215N-ANA / ?,18/18(0)
03 Mar 1978,"Off Caracas, VenezuelaLAV - Linea Aeropostal Venezolana",British Aerospace 748 2AYV-45C,47/47(0)
16 Mar 1978,"Vrastsa, BulgariaBalkan Bulgarian Airlines",Tupolev TU-134LZ-TUB,73/73(0)
22 Mar 1978,"Near Riverside, CaliforniaLake Havasu Air",Cessna T207AN7354U,6/6(0)
25 Mar 1978,"Okaraba, BurmaBurma Airways",Fokker F-27 Friendship 200XY-ADK,48/48(0)
04 Apr 1978,"Off Galveston, TexasAir Logistics",Bell 212N140AL,3/6(0)
05 Apr 1978,"St. Thomas, Virgin IslandsAntilles Air",Grumman G-21N877A,2/9(0)
20 Apr 1978,"Near Murmansk, RussiaKorean Airlines",Boeing B-707-321BHL-7429,2/109(0)
29 Apr 1978,"Bogota, ColombiaLAC Colombia",Douglas C-118AHK-1705,8/12(0)
08 May 1978,"Pensacola, FloridaNational Airlines",Boeing B-727-235N4744,3/58(0)
19 May 1978,"Pochinok, RussiaAeroflot",Tupolev TU-154BCCCP-85169,4/134(0)
23 Jun 1978,"Saint John's, NewfoundlandGander Aviation",Beech Queen Air A80C-GGAL,10/10(0)
26 Jun 1978,"Off Bergen, NorwayHelikopter Service",Sikorsky S-61NLN-OQS,18/18(0)
26 Jun 1978,"Toronto, CanadaAir Canada",McDonnell Douglas DC-9-32C-FTLV,2/107(0)
14 Aug 1978,"Sogamoso, BoliviaAeropeca",Curtiss C-46HK-1350,18/18(0)
26 Aug 1978,"Papun, BurmaBurma Airways",de Havilland Canada DHC-6 Twin Otter 300XY-AEI,14/14(0)
30 Aug 1978,"Las Vegas, NevadaLas Vegas Airlines",Piper PA-31-350 ChieftainN44LV,10/10(0)
03 Sep 1978,"Conakry, GuineaAir Guinee",Ilyushin IL-183X-GAX,15/17(0)
03 Sep 1978,"Coal Harbour, BC, CanadaAirWest Airlines",de havilland Canada Twin Otter 200C-FAIV,11/13(0)
03 Sep 1978,"Near Kariba, Rhodesia (Zimbabwe)Air Rhodesia",Vickers Viscount 782DVP-WAS,38/56(0)
09 Sep 1978,"Wrangell, AlaskaTemesco Helicopter - Air Taxi",Soloy 12EJ3N5384V,3/3(0)
09 Sep 1978,"Near Mexico City, MexicoLineas Areas del Centro",de Havilland Canada DHC-6 Twin Otter 100XA-BOP,18/21(0)
13 Sep 1978,"Whittier, AKAlaska Travel",de Havilland DHC-2N37741,6/6(0)
14 Sep 1978,"Paranaque, PhilippinesPhilippine Air Force",Fokker F-27 Friendship 200PH-FKY,21/28(12)
25 Sep 1978,"San Diego, CaliforniaPacific Southwest Airlines / Private",Boeing B-727-214 / Cessna 172N533PS/N7711G,137/137(7)
03 Oct 1978,"Near Kuopio, FinlandMilitary - Finish Air Force",Douglas C-47A-1-DKDO-10,15/15(0)
03 Oct 1978,"Near Mandalay, MyanmarBurma Airways",Fokker F-27 Friendship 600XY-ADY,2/44(0)
06 Oct 1978,"Santiago de Chile, ChileMilitary - US Navy",Douglas R6D-1 (DC-6)131618,18/18(?)
07 Oct 1978,"Sverdlovsk, RussiaAeroflot",Yakovlev YAK-40CCCP-87437,38/38(0)
08 Oct 1978,"Kenai, AlaskaEra Helicopter - Air Taxi",Bell 205-1N2215W,2/7(0)
22 Oct 1978,"Off Bellona, Solomon IslandsSolomon Islands Airlines",Britten Norman BN-2A TrislanderH4-AAC,11/11(0)
23 Oct 1978,"Gulf of Sivash, USSRAeroflot",Antonov AN-24BCCCP-46327,26/26(0)
05 Nov 1978,"Off Alexandria, EgyptNile Delta Air Services",Douglas DC-3SU-AZM,18/18(0)
15 Nov 1978,"Near Katunayake, Sri LankaLoftleidir Icelandic Airlines",McDonnell Douglas DC-8-Super 63CFTF-FLA,183/262(0)
18 Nov 1978,"Off Marie Galante Island, West IndiesAir Guadeloupe",de Havilland Canada DHC-6 Twin Otter 300F-OGHD,15/20(0)
19 Nov 1978,"Near Leh, IndiaMilitary - Indian Air Force",Antonov An-12?,77/77(1)
21 Nov 1978,"Near Rubio, VenezuelaAereo el Venado",Douglas C-47AHK-1393,27/27(0)
25 Nov 1978,"Hydaburg, AlaskaTyee Airlines",de Havilland DHC-2N37906,5/5(0)
04 Dec 1978,"Near Steamboat Springs, ColoadoRocky Mountain Airways",de Havilland Canada DHC-6 Twin Otter 300N25RM,2/22(0)
16 Dec 1978,"Selvapiana, ItalyAir 70",Cessna 421 Golden EagleI-ASON,10/10(0)
17 Dec 1978,"Hyderabad, IndiaIndian Airlines",Boeing B-737-2A8VT-EAL,1/132(3)
23 Dec 1978,"Off Cinisi, Sicily, ItalyAlitalia",McDonnell Douglas DC-9-32I-DIKQ,108/129(0)
28 Dec 1978,"Portland, OregonUnited Air Lines",McDonnell Douglas DC-8-61N8082U,10/189(0)
