Date,Location / Operator,Aircraft Type / Registration,Fatalities
02 Jan 1973,"Edmonton, Alberta, CanadaPacific Western Airlines",Boeing 707-321CCF-PWZ,5/5(0)
19 Jan 1973,"Near Glasgow, ScotlandBritish European Airways",Vickers 802 ViscountG-AOHI,4/4(0)
21 Jan 1973,"Perm, RussiaAeroflot",Antonov An-24BCCCP-46276,39/39(0)
22 Jan 1973,"Kano, NigeriaAlia Royal Jordanian Airlines",Boeing B-707-3D3CJY-ADO,176/202(0)
27 Jan 1973,"Near Tegucigalpa, HondurasTAN",Douglas DC-6AHR-TNO,3/3(0)
29 Jan 1973,"Near Kyrenia, CyprusEgyptair",Ilyushin IL-18DSU-AOY,37/37(0)
19 Feb 1973,"Prague, CzechoslovakiaAeroflot",Tupolev TU-154CCCP-85023,66/100(0)
19 Feb 1973,"Morgan City, LouisianaPetrolium Helo Inc.",Bell 206BN14831,5/5(0)
21 Feb 1973,"Cerro Horqueta, PanamaAerovias Urraca",Douglas DC-3HP-560,22/28(0)
21 Feb 1973,"Near Isma'iliya, EgyptLibya Arab Airlines",Boeing B-727-2245A-DAH,108/113(0)
24 Feb 1973,"Near Leningrad, RussiaAeroflot",Ilyushin IL-18CCCP-75712,79/79(0)
28 Feb 1973,"Semipalatinsk, KazakhstanAeroflot",Yakovlev YAK-40CCCP-87602,32/32(0)
28 Feb 1973,"Near Nabire, IndonesiaMerpati Nusantara Airlines",de Havilland Canada DHC-6 Twin Otter 100PK-NUC,13/13(0)
03 Mar 1973,"Moscow, USSRBalkan Bulgarian Airlines",Ilyushin IL-18VLZ-BEM,25/25(0)
05 Mar 1973,"Near Nantes, FranceLineas Aereas de Espana/Spantax SA Transportes",MD Douglas DC-9-32/Convair CV-990AEC-BII/EC-BJC,68/182(0)
15 Mar 1973,"Hyderabad, IndiaIndian Airlines",HAL-748-224VT-EAU,3/3(0)
19 Mar 1973,"Ben Me Thuot, South VietnamAir Vietnam (South Vietnam)",Douglas C-54DXV-NUI,62/62(0)
10 Apr 1973,"Near Basel,  SwitzerlandInvicta International Airlines (UK)",Vickers Vanguard 952G-AXOP,108/145(0)
12 Apr 1973,"Moffett AFB, CaliforniaMilitary - U.S. Navy / NASA",Lockheed P-3C / Convair CV-990-30A-5157332/N711NA,16/17(0)
18 Apr 1973,"Bamiyan, AfghanistanBakhtar Afghan Airlines",de Havilland Canada DHC-6 Twin Otter 100YA-GAT,4/19(0)
11 May 1973,"Near Semipalatinsk, USSRAeroflot",Ilyushin IL-18BSSR-75687,61/61(0)
18 May 1973,"Chita, Siberia, USSRAeroflot",Tupolev TU-104ACCCP-42411,81/81(0)
