Date,Location / Operator,Aircraft Type / Registration,Fatalities
06 Jan 1977,"Near Palm Springs, CaliforniaJet Avia Charter",Gates Learjet 24BN12MK,4/4(0)
13 Jan 1977,"Anchorage, AlaskaJapan Air Lines",Douglas DC-8JA8054,5/5(0)
13 Jan 1977,"Near Alma Ata,  Kazakastan, USSRAeroflot",Tupolev TU-104ACCCP-42369,90/90(0)
14 Jan 1977,"Terrace, BC, CanadaNorthern Thunderbird Air Ltd.",de Havilland Canada DHC-6 Twin Otter 300C-GNTB,12/12(0)
15 Jan 1977,"Kalvesta, SwedenSkyline Sweden",Vickers Viscount 838SE-FOZ,22/22(0)
20 Jan 1977,?North Canada Air,Bristol 170 Freighter 31MC-FWAD,1/2(0)
11 Feb 1977,"Bratislava, SlovakiaCeskoslovenské Aerolinie",Avia 14TOK-OCA,4/5(0)
15 Feb 1977,"Mineralnye Vody, RussiaAeroflot",Ilyushin IL-18VCCCP-75520,77/98(0)
28 Feb 1977,"Near Saglouc, CanadaSurvair",Douglas DC-3C-FNAR,4/10(0)
01 Mar 1977,"Off Aden, YemenAlyemda",Douglas DC-37O-ABF,19/21(0)
03 Mar 1977,"Near Cascina, ItalyMilitary - Italian Air Force",Lockheed C-130HMM61995,44/44(0)
04 Mar 1977,"Niamey, NigerOverseas National Airways",McDonnell Douglas DC-8-63CFN8635,2/4(0)
27 Mar 1977,"Tenerife, Canary IslandsPan American World Airways / KLM",Boeing B-747-121 / Boeing B-747-206BN736PA/PH-BUF,583/644(0)
29 Mar 1977,"Bainaha Valley, IndonesiaMerpati Nusantara Airlines",de Havilland Canada DHC-6 Twin Otter 300PK-NUP,15/23(0)
30 Mar 1977,"Near Zhadanof, RussiaAeroflot",Yakovlev YAK-40CCCP-87738,8/27(0)
04 Apr 1977,"New Hope, GeorgiaSouthern Airways",McDonnell Douglas DC-9-31N1335U,62/85(8)
10 Apr 1977,"SW of Bogota, ColombiaEl Venado",Douglas DC-3-3AHK-556,35/35(0)
19 Apr 1977,"Tapa AFB, EstoniaMilitary - Soviet Air Force",Antonov An-24?,21/21(0)
27 Apr 1977,"Guatemala City, GuatemalaAviateca",Convair CV-440TG-ACA,28/28(0)
10 May 1977,"Near Jericho, JordanMilitary - Israel Air Force",Sikorsky CH-53D (helicopter)360,54/54(0)
13 May 1977,"Beiruit, LebanonLOT Polish Airlines",Antonov An-12BPSP-LZA,9/9(0)
14 May 1977,"Near Lusaka, ZambiaIAS Cargo",Boeing 707-321CG-BEBP,6/6(0)
16 May 1977,"New York, New YorkNew  York Helicopter",Sikorsky S61LN619PA,4/25(1)
27 May 1977,"Havana, CubaAeroflot",Ilyushin IL-62MCCCP-86614,67/69(0)
03 Jun 1977,"Natal, BrazilMilitary - Brazilian Air Force",Embraer C-95 BandeiranteFAB2157,18/18(0)
20 Jun 1977,"Salto-Nueva Hesperides, UruguayFuerza Aérea Uruguaya",Embraer 110C BandeiranteCX-BJE,12/15(0)
21 Jun 1977,Off Wake IslandMilitary - U.S. Navy,Lockheed EC-130Q156176,16/16(0)
06 Jul 1977,"Saint Louis, MissouriFleming International Airways",Lockheed L-188AF ElectraN280F,3/3(0)
08 Jul 1977,"Off Kirovograd, UkraineAeroflot",Antonov AN-24CCCP-46847,6/7(0)
14 Jul 1977,"Near Cuangar, AngolaMilitary - Angolan Air Force",Antonov AN-26?,30/30(0)
20 Jul 1977,"	Vitim, RussiaAeroflot",Ilyushin IL-14MCCCP-52096,40/40(0)
20 Jul 1977,"Jima, EthiopiaEthiopian Airlines",Douglas DC-3ET-ABF,5/5(0)
24 Jul 1977,"Near Puerto Montt, ChileMilitary - Chilean Air Force",Douglas DC-6BFAC-989,38/82(0)
25 Jul 1977,"Near Yoro, HondurasMilitary - Honduran Air Force",Douglas C-47FAH-301,25/40(0)
01 Aug 1977,"Encino, CaliforniaPrivate KNBC Los Angeles",Bell 206B JetRangerN4TV,2/2(0)
20 Aug 1977,"San Jose, Costa RicaMonarch Aviation",Convair CV-880N8817E,3/3(0)
25 Aug 1977,"Kona, HawaiiIsland Airways",Shorts SC-7 Skyvan 3-200N4917,2/2(0)
02 Sep 1977,Off Hong KongTransmeridian Air Cargo,Canadair CL-44D4-2G-ATZH,4/4(0)
04 Sep 1977,"Near Cuenca, EcuadorServicios Aereos Nacionales Airways",Vickers Viscount 764DHC-BCL,33/33(0)
06 Sep 1977,"Mt. Iliamna, AlaskaAlaska Aeronautical Industries",de Havilland Canada DHC-6 Twin Otter 200N563MA,13/13(0)
08 Sep 1977,"Mt. Loi Hsam Hsao, BurmaBurma Airways",de Havilland Canada DHC-6 Twin Otter 300XY-AEH,19/19(0)
12 Sep 1977,"Yakutat, AlaskaSafe Air Cargo",Douglas DC-7BFN6314J,4/4(0)
