Date,Location / Operator,Aircraft Type / Registration,Fatalities
16 Jan 1958,"Belem, BrazilCruzeiro",Fairchild C-82APP-CEF,3/3(0)
20 Jan 1958,"Near La Paz, BoliviaTAM (Bolivia)",Douglas DC-3TAM-04,11/11(0)
01 Feb 1958,"Rio de Janeiro, BrazilLoide Aéreo Nacional",Douglas DC-4PP-LEM,5/73(0)
01 Feb 1958,"Norwalk, CaliforniaMilitary - U.S.  Air Force / Military - U.S. Navy",Douglas C-118A / Lockheed P2V-5F53-3277A/127723,41/41(1)
06 Feb 1958,"Munich, GermanyBritish European Airways",Airspeed Ambassador AS-57G-ALZU,23/44(0)
15 Feb 1958,"Mount Vesuvius, ItalyMilitary - US Air Force",Douglas VC-47A42-93817,16/16(0)
19 Feb 1958,"Raiatea, French PolynesiaRéseau Aérien Interinsulaire",Consolidated PBY-5A  CatalinaF-AOVV,15/15(0)
19 Feb 1958,"Cairo, EgyptKLM Royal Dutch Airlines",Douglas DC-6BPH-DFK,1/21(0)
20 Feb 1958,"Off Corvo Island, AzoresMilitary - U.S. Navy",Lockheed WV-2BU-141310,22/22(0)
27 Feb 1958,"Horwich, Lancs, EnglandSilver City Airways",Bristol 170 Freighter 21G-AICS,35/42(0)
07 Mar 1958,"Menzalah Lake, EgyptMisrair",Vickers 628 Viking 1BSU-AGN,8/26(0)
07 Mar 1958,"Off Ryukyu Islands, OkinawaMilitary - U.S. Marine Corps/Military - U.S. Marine Corps",Fairchild R4Q / Dougas AD-6 skyraider129741/135350,26/26(0)
22 Mar 1958,"Grants, New MexicoPrivate",Lockheed 18 LodestarN300E,4/4(0)
24 Mar 1958,"Near Kathmandu, NepalIndian Airlines",Douglas DC-3VT-CYN,20/20(0)
25 Mar 1958,"Miami, FloridaBraniff Airlines",Douglas DC-7-CN5904,9/24(0)
27 Mar 1958,"Bridgeport, TexasMilitary - U.S. Air Force/Military - U.S. Air Force",Douglas C-124C / Fairchild C-119C52-981A/49-195A,18/18(0)
02 Apr 1958,"Quito, EcuadorTransportes Aereos Orientales",Junkers JU-52/3mHC-SND,3/14(0)
