Date,Location / Operator,Aircraft Type / Registration,Fatalities
02 Jan 1965,"Near Darwaza, RussiaAeroflot",Lisunov LI-2CCCP-63842,24/24(0)
03 Jan 1965,"Alma-Ata, KazakhstanAeroflot / Kazakhstan",Ilyushin IL-18BCCCP-75685,64/103(0)
16 Jan 1965,"Wichita, KansasMilitary - U.S. Air Force",Boeing KC-135A57-1442,7/7(23)
17 Jan 1965,"Near Durango, MexicoAerovias del Norte",Curtiss C-46XA-NUT,10/10(0)
22 Jan 1965,Mt. Helmos. GreeceMilitary - U.S. Air Force,Douglas C-124C52-1058,10/10(0)
06 Feb 1965,"San Jose Volcano, ChileLAN",Douglas DC-6BCC-CCG-104,87/87(0)
08 Feb 1965,"Off Jones Beach, New York, New YorkEastern Air Lines",Douglas DC-7BN849D,84/84(0)
13 Feb 1965,"Miami, FloridaAerolineas El Salvador",Curtiss C-46AYS-012C,2/2(0)
13 Feb 1965,"Near Shirinbulak, AzerbaijanAeroflot",Ilyushin IL-14PCCCP-52003,23/23(0)
02 Mar 1965,"Near Aradan, RussiaAeroflot",Li-2CCCP-54971,31/31(0)
08 Mar 1965,"Libmanan, PhilippinesFairways (Filipinas Orient Airways)",Douglas DC-3PI-C948,10/12(0)
08 Mar 1965," Kuibyshev , RussiaAeroflot",Tupolev Tu-124VCCCP-45028,30/30(0)
17 Mar 1965,"Musquodoboit, Nova Scotia, CanadaEastern Provincial Airways",Handley Page HPR-7 Herald 211CF-NAF,8/8(0)
20 Mar 1965,"Khanty, RussiaAeroflot",Antonov AN-24CCCP-46764,43/47(0)
22 Mar 1965,"Sugar Loaf Mountain, ColombiaAVIANCA",Douglas C-47HK-109,28/28(0)
23 Mar 1965,"Off San Juan, Puerto RicoMilitary - Royal Canadian Air Force",Canadair CP-107 MK-220727,16/16(0)
26 Mar 1965,"Lowery Pass, PakistanPakistan International Airlines",Douglas C-47AP-AAH,22/26(0)
31 Mar 1965,"Off Tangier, MoroccoIberia Airlines",Convair CV-440-62EC-ATH,50/53(0)
10 Apr 1965,"Near Damascus, SyriaAlia Royal Jordanian Airlines",Handley Page Dart Herald 207JY-ACQ,54/54(0)
14 Apr 1965,"Jersey, Channel Islands, UKBritish United Airways",Douglas C-47BG-ANTB,26/27(0)
23 Apr 1965,"Near Seattle, WashingtonAaxico Airlines",Douglas DC-6AN6541C,5/5(0)
