Date,Location / Operator,Aircraft Type / Registration,Fatalities
06 Jan 1968,"Near Olekminsk, RussiaAeroflot",Antonov An-24BCCCP-47733,45/46(0)
08 Jan 1968,"Near Quang Tri, South VietnamMilitary - U.S. Marine Corps",Sikorsky CH-53A (helicopter)153710,42/42(0)
10 Jan 1968,"Near Copper Canyon, NevadaMilitary - U.S. Marine Corps",Douglas C-54P50850,19/19(0)
15 Jan 1968,"Zifta, EgyptUnited Arab Airlines",Douglas DC-3SU-AJG,4/4(0)
27 Jan 1968,"Moroni, Comoro IslandsAir Comores",de Havilland DH-114 Heron 1BF-OECD,15/16(0)
07 Feb 1968,"Vancouver, CanadaCanadian Pacific Air Lines",Boeing B-707-138BN791SA,1/61(1)
07 Feb 1968,"Rohtang Pass, Northern IndiaMilitary - Indian Air Force",Antonov AN-12BPBL534,102/102(0)
16 Feb 1968,"Linkuo, TaiwanCivil Air Transport",Boeing B-727-92CB-1018,21/63(1)
24 Feb 1968,"Ban Napa, LaosRoyal Air Lao",Douglas DC-3XW-TAD,37/37(0)
29 Feb 1968,"Near Bratsk, RussiaAeroflot",Ilyushin IL-18DCCCP-74252,83/84(0)
05 Mar 1968,"Near Khe Sanh, South VietnamMilitary - U.S. Air Force",Fairchild C-123K54-0590,49/49(0)
06 Mar 1968,"Basse-Terre, Guadeloupe, West IndiesAir France",Boeing B-707-328CF-BLCJ,63/63(0)
08 Mar 1968,"Off Panay Island, PhilippinesAir Manila",Fairchild F-27PI-C871,14/14(0)
09 Mar 1968,"Near Saint Denis, ReunionMilitary - French Air Force",Douglas DC6B43748,19/20(0)
24 Mar 1968,"Off Wexford Harbor, IrelandAer Lingus",Vickers Viscount 803EI-AOM,61/61(0)
27 Mar 1968,"St. Louis, MissouriOzark Air Lines / Private",McDonnell Douglas DC-9 and Cessna 150FN970Z/N8669G,2/51(0)
27 Mar 1968,"Near Moscow, RussiaMilitary - Russian Air Force",MiG-15 UTI?,2/2(0)
08 Apr 1968,"Heathrow Airport, London, EnglandBritish Overseas Airways",Boeing B-707-465G-ARWE,5/127(0)
08 Apr 1968,"Near Coyhaique, ChileLadeco",Douglas DC-3CC-CBM,36/36(0)
10 Apr 1968," Near Mexico City, MexicoAerovias Rojas",Douglas DC-3XA-GEV,18/18(0)
19 Apr 1968,"Near Cheo Reo, South VietnamMilitary - U.S. Army / Military - U.S. Army",Bell UH-1H / Bell UH-1H (helicopter)6616441/6717255,26/26(0)
20 Apr 1968,"Near Windhoek, South-West  Africa (Namibia)South African Airways",Boeing B-707-344CZS-EUW,123/128(0)
30 Apr 1968,"Near Chaklala, West PakistanMilitary - Pakistan Air Force",Lockheed Martin L-100-1064145,22/22(0)
03 May 1968,"Near Dawson, TexasBraniff Airlines",Lockheed L188A ElectraN9707C,85/85(0)
12 May 1968,"Kham Duc, VietnamMilitary - U.S. Air Force",Lockheed C-130B Hercules60-0297,155/155(0)
22 May 1968,"Paramount, CaliforniaLos Angeles Airways",Sikorsky S-61L helicopterN303Y,23/23(0)
28 May 1968,"Near Bombay, IndiaGaruda Indonesia Airlines",Convair CV-990-30A-5PK-GJA,29/29(1)
12 Jun 1968,"Calcutta, IndiaPan American World Airways",Boeing B-707-321CN798PA,6/63(0)
18 Jun 1968,"San Sebastian, SpainRinaldo Piaggio",Piaggio PD-808I-PIAI,6/6(0)
25 Jun 1968,"Near Bearcat, South VietnamMilitary - U.S. Army",Bell UH-1H / Bell UH-1H / Bell UH-1H?,29/29(0)
28 Jun 1968,"Vichy, MissouriPurdue Airlines Inc.",Douglas DC-3 (C-47-DL)N6898D,1/27(0)
03 Jul 1968,"London, EnglandBKS Air Transport",Airspeed AS.57 Ambassador 2G-AMAD,6/8(0)
08 Jul 1968,"Near Dhahran, Saudi ArabiaSaudi Arabian Airlines",Convair CV-340-68BHZ-AAZ,11/11(0)
13 Jul 1968,"Near Lagos, NigeriaSabena",Boeing 707-329COO-SJK,7/7(0)
15 Jul 1968,"Gravata, BrazilVarig",Curtiss C-46CPP-VBJ,3/3(0)
18 Jul 1968,Off ChiliAerolineas Flecha Austral,Curtiss C-46DCC-CDI,5/5(0)
02 Aug 1968,"Near Milan, ItalyAlitalia",McDonnell Douglas DC-8I-DIWF,13/95(0)
04 Aug 1968,"Milwaukee, WisconsinNorth Central Airlines / Private",Convair CV-580 / Cessna 150N4634S / N8742S,3/15(0)
09 Aug 1968,"Pfaffenhofen, GermanyBritish Eagle International Airlines",Vickers Viscount 739AG-ATFN,48/48(0)
10 Aug 1968,"Charleston, West VirginiaPiedmont Airlines",Fairchild-Hiller FH-227BN712U,35/37(0)
14 Aug 1968,"Compton, CaliforniaLos Angeles Airways",Sikorsky S-61L helicopterN300Y,21/21(0)
18 Aug 1968,"Off Port Said, EgyptUnited Arab Airlines",Antonov AN-24VSU-AOL,40/40(0)
20 Aug 1968,"Near Maturin, VenezuelaLinea Aeropostal Venezolana",Hawker Siddeley HS-748-215-2YV-C-AMY,4/7(0)
31 Aug 1968,"Near Odda, NorwayWestwing",de Havilland Canada DHC-3 OtterLN-BFD,5/6(0)
03 Sep 1968,"Near Burgas, BulgariaBulair TABSO",Ilyushin IL-18LZ-BEG,47/89(0)
08 Sep 1968,"Flushing, New YorkFar Aviation - Air Taxi / Speeds Flying - Air Taxi",Cessna 402 / Piper PA-28N8283F / N8828W,2/9(0)
11 Sep 1968,"Off Cap d'Antibes, FranceAir France",Sud-Aviation Caravelle 3F-BOHB,95/95(0)
28 Sep 1968,"Port Harcourt, Biafra, NigeriaPan African Airlines",Douglas C-54BN90427,57/57(1)
