Date,Location / Operator,Aircraft Type / Registration,Fatalities
03 Jan 2004,"Off Sharm el Sheikh, EgyptFlash Air",Boeing B-737-3Q8SU-ZCF,148/148(0)
13 Jan 2004,"Tashkent, UzbekistanUzbekistan Airways",Yakovlev YAK-40UK-87985,37/37(0)
06 Feb 2004,"Bitonja, Bosnia-HerzegovinaMilitary - Government of Macedonia",Beechcraft Super King Air 200Z3-BAB,9/9(0)
10 Feb 2004,"Sharjah, United Arab EmiratesKish Airlines",Fokker F-50EP-LCA,43/46(0)
04 Mar 2004,"Bakou, Azerbaijan	Bakou, AzerbaijanAzov Avia Airlines",Ilyushin II-76UR-ZVA,3/7(0)
16 Mar 2004,"Tonopah, NevadaMilitary - United States Air Force",Beechcraft 1900CN27RA,5/5(0)
21 Mar 2004,"Pyote, TexasAir Ambulance - Med-Trans Corp.",Bell 407N502MT,4/5(0)
02 May 2004,"Near Milpillas, MexicoProcuradoria General de la Republica",Rockwell Gulfstream Jetprop 840  XC-JEH,7/7(0)
05 May 2004,"Carepa, ColombiaAerotransportes Petroleros",Swearingen SA227AC Metro IIIHK-4275,3/7(0)
06 May 2004,"Jiech, SudanCharter - Air Cush",Let 410UVP9XR-DC,6/10(0)
11 May 2004,"Dalang, SudanEl Magal Aviation",Antonov AN-12ST-SIG,7/7(0)
14 May 2004,"Near Manaus, BrazilRico Linhas Aereas",Embraer 120ER BrasiliaPT-WRO,33/33(0)
18 May 2004,"Urumqi, ChinaAZAL Cargo Company",Ilyushin II-76TD4K-AZ27,7/7(0)
18 May 2004,"Bozoy, KazakhstanAray-Avia",PZL-Mielec AN-2RUN-70276,1/12(0)
23 May 2004,"Mwingi, KenyaBlue Bird Aviation",Let 410UVP5Y-VVD,2/2(0)
25 May 2004,"Near Lukla, NepalYeti Airlines",de Havilland DHC-6 Twin Otter 3009N-AFD,3/3(0)
08 Jun 2004,"Off Libreville, GabonGabon Express",BAe HS-748-232 Srs 2ATR-LFW,19/30(0)
28 Jun 2004,"Near Yengema, Sierra LeoneUnited Nations -  UTair Charter",Mi-8MTV-1RA-27113,24/24(0)
12 Jul 2004,"Off Beef Island, British Virgin IslandsDodita Air Cargo",Convair CV-440N4826C,1/2(0)
22 Jul 2004,"Off  Macaé , Rio de Janeiro , BrazilBHS - Brazilian Helicopter Service  Air Taxi",Sikorsky S 76PP-MYM,6/11(0)
29 Jul 2004,"Ononge, Papua New GuineaAirlines of PNG",de Havilland DHC-6 Twin Otter 300P2-MBA,2/3(0)
13 Aug 2004,"Cincinnati, OhioAir Taroma",Convair CV-580N586P,1/2(0)
21 Aug 2004,"Near Maracay, VenezuelaMilitary - Venezuelan Air Force",Shorts 360FAV-1652,25/25(0)
24 Aug 2004,"Near Rostov-on-Don, RussiaSibir Airlines",Tupolev 154B-2RA-85556,46/46(0)
24 Aug 2004,"Near Toula, RussiaVolga-Avia Express",Tupolev 134A-3RA-65080,41/41(0)
27 Aug 2004,"Near Mc Grath, AlaskaMavrik Aire Transport",de Havilland DHC-3 OtterN197TT,1/3(0)
09 Sep 2004,"Villahermosa, MexicoJett Paqueteria SA",Rockwell CT-39A SabrelinerXA-TFD,2/2(0)
11 Sep 2004,"Off Mount Athos, GreeceMilitary - Greek Army",CH-47D Chinook?,17/17(0)
29 Sep 2004,"Tortuguero lagoon, Puerto RicoAir Flamence",Pilatus-Britten Norman BN-2A-27 IslanderN902GD,1/1(0)
05 Oct 2004,"Kaduqli, SudanSarit Airlines",Antonov AN-12ST-SAF,4/4(0)
14 Oct 2004,"Halifax, Nova Scotia, CanadaMK Airlines",Boeing 747-244B-SF9G-MKJ,7/7(0)
14 Oct 2004,"Jefferson City, MissouriPinnacle Airlines/Northwest Airlink",Canadair CRJ200LR RegionalJetN8396A,2/2(0)
15 Oct 2004,"Near Medellin, ColombiaAerovanguardia",Douglas DC-3CHK-1503,3/3(0)
16 Oct 2004,"Coron Island, PhilippinesPacific Air",Pilatus Britten-Norman BN-2A-21 IslanderRP-C1325,2/2(0)
19 Oct 2004,"Near Kirksville, MissouriCorporate Airlines (American Connection)",Bae Jetstream 3201N875JX,13/15(0)
24 Oct 2004,"San Diego, CaliforniaMed Flight Air Ambulance - Private",Learjet 35AN30DK,5/5(0)
24 Oct 2004,"Martinsville, VirginiaPrivate - Hendrick Motorsports Inc.",Beech 200 Super King AirN501RH,10/10(0)
18 Nov 2004,"Caracas, VenezuelaVenezolana",BAe 3101 Jetstream 31YV-1083C,3/21(0)
21 Nov 2004,"Baotou, Inner Mongolia, ChinaChina Eastern Airlines",Bombardier CRJ200B-3072,53/53(0)
22 Nov 2004,"Houston, TexasBusiness Jet Services",Grumman Gulfstream G3N85VT,3/3(0)
27 Nov 2004,"Near Bagram, AfghanstanPresidental Airways Inc. - Air Taxi",CASA 212-CCN960BW,6/6(0)
28 Nov 2004,"Montrose, ColoradoGlow Air/Air Castle - Charter",Canadair CL-601-2A12 ChallengerN873G,3/6(0)
30 Nov 2004,"Solo, IndonesiaLion Air",McDonnell-Douglas MD-82PK-LMN,25/163(0)
10 Dec 2004,"El Junquito, VenezuelaGuardia Nacional de Venezuela",PZL-Mielec M28GN-97121,16/16(0)
11 Dec 2004,"Near Jeddah, Saudi ArabiaAirline Transport",Ilyushin II-76TDER-IBW,1/7(0)
11 Dec 2004,"Uberaba, BrazilNHR Táxi-Aéreo",Embraer EMB-110 BandeirantePT-WAK,2/2(1)
