Date,Location / Operator,Aircraft Type / Registration,Fatalities
06 Jan 1948,"Paris, FranceAir France",Douglas DC-3DF-BAXC,16/16(0)
06 Jan 1948,"Ruislip, EnglandBritish European Airways",Vickers 610 Viking 1BG-AHPK,1/18(0)
07 Jan 1948,"Near Savannah, GeorgiaCoastal Air Lines",Douglas DC-3N60331,18/27(0)
08 Jan 1948,"Near Palestro, AlgeriaTransport Comp. Algerienne de T.A.",Douglas DC-3F-BDLG,9/9(0)
11 Jan 1948,"Ciudad Havajillo, Dominican RepublicDominicana",Douglas DC-3HI-6,32/32(0)
13 Jan 1948,"Oxon Hill, MarylandEastern Air Lines",Douglas DC-3-201FNC28384,5/9(0)
20 Jan 1948,"Near Mukden, ChinaChina National Aviation Corporation",Curtiss C-46?,11/54(0)
28 Jan 1948,"Diablo Mts., CaliforniaAirline Transport Carriers",Douglas DC-3 (C-47B-DK)NC36480,32/32(0)
30 Jan 1948,"Atlantic Ocean, NE of BermudaBritish South American Airways",Avro 688 Tudor IG-AHNP,31/31(0)
07 Feb 1948,"Off Jacksonville, FloridaEastern Air Lines",Lockheed L-649 ConstellationNC112A,1/69(0)
10 Feb 1948,"Near Padalarang, IndonesiaKLM Royal Dutch Airlines",Douglas DC-3PK-REA,19/19(0)
12 Feb 1948,"Ubrichstein, GermanyDet Danske Luftfartselskab",Douglas DC-3OY-DCI,12/21(0)
20 Feb 1948,"Collesalvetti,  ItalySocietà Aerea Teseo",Douglas C-47-DLI-REGI,7/10(0)
21 Feb 1948,"Off St. Marcouf, FranceLatecoere Airlines",Latecoere 631 (flying boat)F-BDRD,14/14(0)
23 Feb 1948,"Davao, PhilippinesCommercial Airways",Douglas DC-3PI-C262,12/12(0)
25 Feb 1948,"Columbus, OhioBruning Aviation",Douglas C-47ANC36498,2/2(0)
27 Feb 1948,"Near Belem, BrazilMilitary - Brazilian Air Force",Douglas C-472040,23/26(0)
02 Mar 1948,"Off Perpignan, FranceSociété de Transports Aériens",Junkers Ju-52/3mF-BBYC,4/4(0)
02 Mar 1948,"Heathrow Airport, London, EnglandSabena",Douglas DC-3OO-AWH,20/22(0)
07 Mar 1948,"Near Skalafell, IcelandLoftleidir Icelandic Airlines",Avro AnsonTF-RVL,4/4(0)
10 Mar 1948,"Chicago, IllinoisDelta Air Lines",Douglas DC-4NC37478,12/13(0)
12 Mar 1948,"Mt. Sanford, AlaskaNorthwest Orient Airlines",Douglas DC-4 (C-54G-1-DO)NC95422,30/30(0)
13 Mar 1948,"Sierra Cristais, BrazilCruzeiro",Douglas DC-3PP-CBX,6/6(0)
15 Mar 1948,"Villa Pinzon, ColombiaAgencia Interamericana de Aviada",Douglas DC-3 (C47-DL)C-1002,14/14(0)
27 Mar 1948,"Monte Cardo, Corsica, FranceIndian National Airlines",Vickers 604 Viking 1BVT-CEL,19/19(0)
05 Apr 1948,"Near Berlin, GermanyBritish European Airways / Military - Soviet Air Force",Vickers Viking 1B & Soviet YAK-3 fighterG-AIVP,14/14(0)
15 Apr 1948,"Shannon, IrelandPan American World Airways",Lockheed L-049-46 ConstellationNC-88858,30/31(0)
18 Apr 1948,Territory of New GuineaNew Guinea Air Traders,Lockheed Hudson IIIAVH-ALA,37/37(0)
