Date,Location / Operator,Aircraft Type / Registration,Fatalities
10 Jan 1991,"Near Paramo Mucuti, VenezuelaMilitary - Venezuelan Navy",CASA 212 Aviocar 200ARV-0209,21/22(0)
30 Jan 1991,"Jalaludin, IndonesiaMerpati Nusantara Airlines",CASA 212 Aviocar 200PK-NCY,1/21(0)
31 Jan 1991,"Near Ras Al Khafji, Saudi ArabiaLockheed AC-130H Hercules",Military - U.S. Air Force69-6567,14/14(0)
01 Feb 1991,"LAX, Los Angeles, CaliforniaUSAir / Skywest Airlines",Boeing B-737-300 / Swearingen SA-227ACN388US/N683AV,34/101(0)
05 Feb 1991,"Near Nea Ankhialos, GreeceMilitary - Hellenic Air Force",Lockheed C-130H748,63/63(0)
14 Feb 1991,"Near Taisha, EcuadorMilitary - Ecuadorean Air Force",de Havilland Canada DHC-6 Twin Otter 300FAE447,22/22(0)
17 Feb 1991,"Cleveland, OhioRyan International Airlines",McDonnell Douglas DC-9-15RCN565PC,2/2(0)
20 Feb 1991,"Puerto Williams, ChileLAN",British Aerospace BAE-146-200ACC-CET,20/72(0)
22 Feb 1991,"Cazombo, AngolaFuerza Area Angolaise",Antonov AN-26?,47/47(0)
03 Mar 1991,"Near Colorado Springs, ColoradoUnited Air Lines",Boeing B-737-291N999UA,25/25(0)
05 Mar 1991,"La Puerta, VenezuelaLinea Aeropostal Venezolana",McDonnell Douglas DC-9-32YV-23C,45/45(0)
16 Mar 1991,"San Diego, CADuncan Aircraft Sales",Hawker-Siddeley DH-125-1A/522N831LC,10/10(0)
16 Mar 1991,"Malanje, AngolaTransafrik",Lockheed L-100-30 HerculesCP-1564,9/9(0)
21 Mar 1991,"Ras-al-Mishab, Saudi ArabiaMilitary - Royal Saudi Air Force",Lockheed C-130H469,98/98(0)
21 Mar 1991,"Off San Diego, CaliforniaMilitary - U.S. Navy / Military -  U.S. Navy",Lockheed P-3C / Lockheed P-3C158930/159325,27/27(0)
23 Mar 1991,"Navoi,  UzbekistanAeroflot",Antonov AN-24BCCCP-46472,34/63(0)
25 Mar 1991,"Near Bangalore, IndiaMilitary - Indian Air Force",Hindustan Aeronautics 748-2H1513,28/28(0)
04 Apr 1991,"Marion, PennsylvaniaPrivate",Piper Aerostar 601 / Bell 412SPN3645D / N78S,5/5(2)
04 Apr 1991,"Lake Thutade, CanadaCentral Mountain Air Services",Douglas C-47B-15-DKC-FQNF,6/7(0)
05 Apr 1991,"Brunswick, GeorgiaAtlantic Southeast Airlines",Embraer 120RT- BrasiliaN270AS,23/23(0)
19 Apr 1991,"Off Nuka Hiva, French PolynesiaAir Tahiti",Dornier Do-228-212F-OHAB,11/22(0)
09 May 1991,"Sulawesi, IndonesiaMerpati Nusantara Airlines",Fokker F-27 Friendship 600PK-MFD,13/13(0)
13 May 1991,"Grand Canyon, AirzonaAir Taxi - Air Grand Canyon Inc.",Cessna 207AN6280H,7/7(0)
15 May 1991,"La Poyatta, ColombiaADES Colombia",Douglas C-47BHK-3177,13/14(0)
23 May 1991,"Leningrad, USSRAeroflot",Tupolev TU-154B-1CCCP-85097,13/181(0)
24 May 1991,"Bakhtaran, IranMetro Cargo",Ilyushin 76TDLZ-INK,4/10(0)
26 May 1991,"Near Ban Nong Rong, ThailandLauda Air",Boeing B-767-3Z9EROE-LAV,223/223(0)
01 Jun 1991,"Off Matthewtown, Great InaguaAgape Flight Inc.",GAF Nomad N24AN8071L,2/3(0)
10 Jun 1991,"Luanda, AngolaCarib Air Transport",Lockheed L-382B HerculesJ6-SLQ,7/7(0)
20 Jun 1991,"Near Malambo, ColombiaAerosucre Colombia",Douglas DC-6BFHK-3511,2/18(0)
26 Jun 1991,"Near Sokotu, NigeriaOkada Air",BAC One-Eleven 402AP5N-AOW,4/53(0)
26 Jun 1991,"Gulf of Finland, RussiaAKF Polet",Antonov AN-24CCCP-46724,10/10(0)
04 Jul 1991,"El Yopal, ColombiaHelicol Colombia",de Havilland Canada DHC-6 Twin Otter 300HK-2889X,3/3(0)
09 Jul 1991,"Bellavista Airport, PeruAerochasqui",CASA 212 Aviocar 200OB-1218,15/15(0)
10 Jul 1991,"Birmingham, AlabamaL'Express Airlines",Beechcraft BE-99-C99N7217L,13/15(0)
