Date,Location / Operator,Aircraft Type / Registration,Fatalities
06 Feb 1967,"Aleppo, SyriaSyrian Arab Airlines",Douglas DC-3YK-ACB,1/19(0)
07 Feb 1967,"Near Hourghada, UARMisrair",Antonov AN-24?,30/30(0)
09 Feb 1967,"Near Mexico City, MexicoCubana de Aviacion",Antonov AN-12CU-T827,10/10(0)
16 Feb 1967,"Manado, IndonesiaGaruda Indonesia Airlines",Lockheed L-188C ElectraPK-GLB,22/63(0)
20 Feb 1967,"Tegucigalpa, HondurasSahsa Airlines",Douglas DC-6HR-SAG,4/55(0)
28 Feb 1967,"Mactan, PhilippinesPhilippine Air Lines",Fokker F-27 Friendship 100PI-C501,12/20(0)
05 Mar 1967,"Near Marseille, OhioLake Central Airlines",Convair CV-580N73130,38/38(0)
05 Mar 1967,"Monrovia, LiberiaVarig",McDonnell Douglas DC-8-33PP-PEA,51/90(5)
08 Mar 1967,"Karachi, PakistanCompagnie Air Transport",AT L98 CarvairF-BMHU,4/6(7)
09 Mar 1967,"Urbana, OhioTrans World Airlines / Private",MD Douglas DC-9-15 / Beechcraft Baron-55N1063T/N6127V,26/26(0)
10 Mar 1967,"Near Phan Rang, South VietnamMilitary - U.S. Navy",Douglas C-47J99844,25/25(0)
10 Mar 1967,"Near Klamath Falls, OregonWest Coast Airlines",Fairchild F-27N2712,4/4(0)
11 Mar 1967,"Mt Visenti, ItalyAeralpi",de Havilland Canada DHC-6 Twin Otter 100I-CLAI,4/5(0)
12 Mar 1967,"Near Yakutsk, RussiaAeroflot",Ilyushin IL-14PCCCP-61657,15/19(0)
13 Mar 1967,"Off East London, South AfricaSouth African Airways",Vickers Viscount 818ZS-CVA,25/25(0)
30 Mar 1967,"New Orleans, LouisianaDelta Air Lines",McDonnell Douglas DC-8-51N802E,6/6(13)
02 Apr 1967,"Off Lima, PeruCaribbean Airlines",Lockheed 18 LodestarN706G,5/5(0)
11 Apr 1967,"Tamanrasset, AlgeriaAir Algerie",Douglas DC-47T-VAU,35/39(0)
17 Apr 1967,"Near Mamuniyeh, IranMilitary - Imperial Iranian Air Force",Lockheed C-130B5-107,23/23(0)
20 Apr 1967,"Near Nicosia, CyprusGlobe Air",Bristol Britannia 175HB-ITB,126/130(0)
26 Apr 1967,"Near Sogamosa, ColombiaAVIANCA",Douglas DC-3HK-326,17/18(0)
27 Apr 1967,"Malaybalay, PhilippinesPelita Air Service",Fokker F-27 Friendship 400PK-PFB,19/21(0)
01 May 1967,"Flushing, New YorkGreylock Airways / Private",de Havilland DH-104 / Piper PA-28N80013 / N5836W,3/14(0)
15 May 1967,"Cape Dyer, Northwest Territories CanadaNordair",Curtiss C-46TCF-NAD,4/4(0)
19 May 1967,"Ottawa, Ontario, CanadaAir Canada",Douglas DC-8-54FCF-TJM,3/3(0)
03 Jun 1967,"Mt. Canigou, near Roussillon, FranceAir Ferry Ltd",Douglas C54AG-APYK,88/88(0)
04 Jun 1967,"Stockport, Cheshire, EnglandBritish Midland Airways",Canadair C-4 ArgonautG-ALHG,72/84(0)
11 Jun 1967,"Jedda, Saudi ArabiaSaudi Arabian Airlines",Douglas DC-3HZ-AAJ,17/18(0)
12 Jun 1967,"Near La Paz, MexicoAeronaves de Mexico",Douglas DC-3A-197DXA-FUW,3/4(2)
12 Jun 1967,"Dublin, IrelandAer Turas",Bristol 170 Freighter 31EEI-APM,2/2(0)
15 Jun 1967,"Near Coari, BrazilMilitary - Brazilian Air Force",Douglas C-47C-47-268,20/25(0)
17 Jun 1967,"An Khe, South VietnamMilitary - U.S. Air Force",Lockheed C-130B60-0293,35/56(0)
23 Jun 1967,"Blossburg, PennsylvaniaMohawk Airlines",BAC One Eleven 204AFN1116J,34/34(0)
23 Jun 1967,"Near Jacksonville, North CarolinaMilitary - U.S. Marine Corps/Military - U.S. Marine Corps",Bell UH-1B / Sikorsky CH53A helicopters638572/153305,22/35(0)
24 Jun 1967,"Khamis Mushait, Saudi ArabiaSaudi Arabian Airlines",Douglas DC-3HZ-AAM,16/17(0)
30 Jun 1967,"Kai Tak, Hong KongThai International",Sud Aviation SE-210 Caravelle IIIHS-TGI,24/80(0)
06 Jul 1967,"Bacolod, PhilippinesPhilippine Air Lines",Fokker F-27 Friendship 100PI-C527,21/21(0)
19 Jul 1967,"Near Hendersonville, North CarolinaPiedmont Airlines / Private",Boeing B-727-22 / Cessna 310N68650/N3121S,82/82(0)
19 Jul 1967,"Tananarive, Malagasy RepublicAir Madagascar",Douglas DC-4-10095R-MAD,42/42(0)
25 Jul 1967,"Near Luang Prabang, LaosVehu Akat",Douglas DC-3XW-PDL,16/16(0)
