Date,Location / Operator,Aircraft Type / Registration,Fatalities
07 Jan 1982,"Near Gelendzhik, USSRAeroflot",LET  410M TurbojetCCCP-67290,18/18(0)
13 Jan 1982,"Washington, D.C.Air Florida",Boeing B-737-222N62AF,74/79(4)
14 Jan 1982,"Near Addis Ababa, EthiopiaMilitary - Ethiopian Air Force",Antonov AN-2671383,73/73(0)
23 Jan 1982,"Logan Airport,  Boston, MassachusettsWorld Airways",McDonnell Douglas DC-10-30CFN113WA,2/212(0)
25 Jan 1982,"Constanta, RomaniaTarom",Antonov An-24RVYR-BMD,7/7(0)
03 Feb 1982,"Djibouti, DjboutiMilitary - French Air Force",Nord 2501 Noratlas140/88JA,35/35(0)
06 Feb 1982,"Island of Cheju, South KoreaMilitary - Republic of South Korea Air Force",Fairchild C-123?,53/53(0)
07 Feb 1982,"Near Srinagar, IndiaMilitary - Indian Air Force",Fairchild C-119G?,23/23(0)
09 Feb 1982,"Mt. Ipao, PhilippinesTrans Air Services",Douglas DC-3 (C-47A-70-DL)RP-C141,3/32(0)
09 Feb 1982,"Tokyo, JapanJapan Air Lines",McDonnell Douglas DC-8-61JA-8061,24/174(0)
19 Feb 1982,"Cerro el Tablazo, ColombiaLAC Columbia",Douglas DC-6BFHK-1706,4/4(0)
21 Feb 1982,"Providence, Rhode IslandPilgrim Airlines",de Havilland DHC -6-100N127PM,1/12(0)
11 Mar 1982,"Mehamn, NorwayWideroe's Flyveselksap",de Havilland Canada DHC-6 Twin Otter 300LN-BNK,15/15(0)
19 Mar 1982,"Near Woodstock, IllinoisMilitary - U.S. Air Force",Boeing KC-135C58-0031,27/27(0)
19 Mar 1982,"Leesburg, FloridaPrivate",Beechcraft Bonanza F35N567LT,3/3(0)
20 Mar 1982,"Branti Airport, IndonesiaGaruda Indonesia Airlines",Fokker F-28 Fellowship 1000PK-GVK,27/27(0)
26 Mar 1982,"Queate, ColombiaAeropesca Colombia",Vickers Viscount 745DHK-2382,21/21(0)
11 Apr 1982,"Near Tanana, AlaskaAir Taxi - Tundra Copters",Hughes 369DN11058,3/3(0)
13 Apr 1982,"Near Erzurum, TurkeyMilitary - U.S. Air Force",Lockheed C-130H74-1678,27/27(0)
26 Apr 1982,"Near Yangshuo, Guangxi, ChinaCAAC",Hawker Siddeley Trident 2EB-266,112/112(0)
30 Apr 1982,Gulf of ThailandOkanagan Helicopters,Sikorsky S-76C-GIMF,13/13(0)
09 May 1982,"Off Aden, YemenAlyemda",de Havilland Canada DHC-7-1037O-ACK,47/49(0)
12 May 1982,"Judsonia, ArkansasMilitary - U.S. Air Force",Lockheed C-130E Hercules64-0543,7/7(0)
19 May 1982,South Atlantic OceanMilitary - Royal British Navy,Westland Sea King HC-4 (helicopter)ZA-294,21/30(0)
25 May 1982,"Brazilia, BrazilVASP",Boeing B-737-200PP-SMY,2/118(0)
28 May 1982,"Off Natuma Island, IndonesiaPelita Air Service",Aerospatiale 330G PumaPK-PDU,10/10(0)
01 Jun 1982,"Near Songnam-si, South KoreaMilitary - Republic of South Korea Air Force",Fairchild C-12356-4391,53/53(0)
08 Jun 1982,"Near Pacatuba, BrazilVASP",Boeing B-727-212APP-SRK,137/137(0)
12 Jun 1982,"Tabatinga, BrazilTABA",Fairchild-Hiller FH-227B-LCDPT-LBV,44/44(0)
22 Jun 1982,"Bombay, IndiaAir India",Boeing B-707-437VT-DJJ,17/111(0)
24 Jun 1982,"Mount Galunggung, IndonesiaBritish Airways",Boeing B-747G-BDXH,0/257(0)
28 Jun 1982,"Southern Belarus, USSRAeroflot",Yakovlev YAK-42CCCP-42529,132/132(0)
03 Jul 1982,"Oganda, GabonAir Affaires Gabon",Cessna 404 TitanTR-LYQ,12/12(0)
06 Jul 1982,"Near Moscow, RussiaAeroflot",Ilyushin IL-62MCCCP-86513,90/90(0)
09 Jul 1982,"Kenner, LouisianaPan American World Airways",Boeing B-727-235N4737,145/145(8)
11 Jul 1982,"Jolo, PhilippinesPhilippine Air Lines",Hawker Siddeley HS-748-209 Srs. 2RP-C1014,4/30(0)
23 Jul 1982,"Castaic, CaliforniaWestern Helicopter",Bell UH-1B Huey HelicopterN87701,0/1(3)
11 Aug 1982,Pacific OceanPan American World Airways,Boeing B-747-121N754PA,1/285(0)
12 Aug 1982,"Mindat, MyanmarBurma Airways",de Havilland Canada DHC-6 Twin Otter 300XY-AEB,8/8(0)
14 Aug 1982,"Near Managua, NicaraguaMilitary - Nicaraguan Air Force",Arava 201223,20/20(0)
14 Aug 1982,"Sukhumi, Georgia, USSRAeroflot / Aeroflot",Let 410UVP Turbojet / Tupolev TU-134V67191 / 65836,11/11(0)
01 Sep 1982,"Near Valladolid, EcuadorAerolineas Condor",de Havilland Canada DHC-4A CaribouHC-BHZ,44/44(0)
04 Sep 1982,"Rio Branco, BrazilCia Brasiliera de Tratores",Gates Learjet 25BPT-JBQ,10/10(0)
11 Sep 1982,"Near Mannheim, West GermanyMilitary - U.S. Army",Boeing Vertol CH-47C (helicopter)74-22292,46/46(0)
13 Sep 1982,"Near Malaga, SpainSpantax",McDonnell Douglas DC-10-30CFEC-DEG,50/394(0)
29 Sep 1982,"Luxembourg, LuxembourgAeroflot",Ilyushin IL-62MCCCP-86470,7/77(0)
17 Nov 1982,Off TaiwanFar Eastern Air Transport,Bell 212B-2311,15/15(0)
29 Nov 1982,"Lubango, AngolaTAAG Angola Airlines",Antonov AN-26D2-TAB,15/15(0)
29 Nov 1982,"Quetame, ColombiaAerolineas Centrales de Colombia",de Havilland Canada DHC-6 Twin Otter 310HK-2536,22/22(0)
07 Dec 1982,"Near Pueblo, ColoradoPioneer Airlines",Swearingen SA.227AC Metro IIIN30093,2/2(0)
09 Dec 1982,"La Serena, ChileAeronor Chile",Fairchild F-27JCC-CJE,46/46(0)
09 Dec 1982,"Near San Andres de Bocay, NicaraguaMilitary - Nicaraguan Air Force",Mil Mi-8 (helicopter)265,84/88(0)
23 Dec 1982,"Rostov-on-Don, RussiaAeroflot",Antonov AN-26CCCP-26627,16/16(0)
24 Dec 1982,"Guangzhou, ChinaCAAC",Ilyushin IL-18BB-202,25/69(0)
