Date,Location / Operator,Aircraft Type / Registration,Fatalities
02 Jan 1949,"Seattle, WashingtonSeattle Air Charter",Douglas DC-3 (C-47A-DL)NC79025,14/30(0)
05 Jan 1949,"Caravelas Bay, BrazilBritish South American Airways",Avro 685 York 1G-AHEX,3/17(0)
06 Jan 1949,"Brandywine, MarylandCoastal Cargo",Douglas C-47ANC53210,2/2(0)
11 Jan 1949,"Near Pelotas, BrazilViacao Aerea Gaucha S.A.",Lockheed 18 LodestarPP-SAC,12/12(0)
15 Jan 1949,"Ras-el-Tin, EgyptPan African Air Charter",Douglas C-54 SkymasterZS-AYB,30/30(0)
16 Jan 1949,"Near Srinagar, IndiaDalmia Jain Airways",Douglas DC-3VT-CDZ,13/13(0)
17 Jan 1949,"Atlantic Ocean, off BermudaBritish South American Airways",Avro 688 Tudor 4BG-AGRE,20/20(0)
17 Jan 1949,"Near Succoth Glen, Lochgoilhead, ScotlandMilitary - U.S. Air Force",Boeing B-29A Superfortress44-62276,20/20(0)
20 Jan 1949,"Homer, AlaskaAlaska Airlines",Douglas DC-3CN91006,5/6(0)
30 Jan 1949,"Port Washington, New YorkPan American World Airways",Lockheed L-749 / Cessna 140NC86530/NC76981,2/35(0)
02 Feb 1949,"Trinity Bay, NewfoundlandSaint Lawrence Airways",Avro AnsonCF-FEO,6/10(0)
04 Feb 1949,"Castel Benito, LibyaSkyways of London",Douglas C-54A-1-DO SkymasterG-AJPL,1/53(0)
05 Feb 1949,"Buenaventura Bay, ColombiaAVIANCA",Consolidated PBY-5A CatalinaHK-134,3/14(0)
08 Feb 1949,"Off Copenhagen, DenmarkScandinavian Airlines (SAS)",Vickers 628 Viking 1BOY-DLU,27/27(0)
10 Feb 1949,"Near Huanuco, PeruFaucett",Douglas DC-3OB-PAV-223,16/16(0)
19 Feb 1949,"Near Coventry, Warks, EnglandBritish European Airways / Military - British",Douglas DC-3 / Avro AnsonG-AHCW/VV243,14/14(0)
24 Feb 1949,"Near Cuzco, PeruTAM (Peru)",Douglas C-47?,22/26(0)
24 Feb 1949,"Braemar Resevoir, Hong KongCathay Pacific Airways",Douglas DC-3VR-HDG,23/23(0)
10 Mar 1949,"Coolangatta, AustraliaQueensland Airlines",Lockheed 18 LodestarVH-BAG,22/22(0)
15 Mar 1949,"Berlin, GermanySkyways",Avro 685 York IG-AHFI,3/3(0)
18 Mar 1949,"Near Waikanae, New ZealandNew Zealand National Airways",Lockheed 18 LodestarZK-AKX,15/15(0)
29 Apr 1949,"Near Mironovo, RussiaAeroflot",Lisunov Li-2SSSR-L4464,14/24(0)
04 May 1949,"Superga, ItalyAvio Linee Italiane",FIAT G-212CPI-ELCE,31/31(0)
04 May 1949,"Near Portland, Dorset, EnglandBristop Aeroplane Company",Bristol 170 Freighter 31 Mark IIG-AIFF,7/7(0)
07 May 1949,"Sibuyan Sea, off the Philippine island of ElalatPhilippine Air Lines",Douglas DC-3PI-C-98,13/13(0)
13 May 1949,"Near  Novosibirsk, RussiaAeroflot",Ilyushin IL-12L1791,25/25(0)
06 Jun 1949,"Malahasa Attica, GreeceTech - Aeronautical Explotiation",Douglas DC-3SX-BAI,22/22(0)
07 Jun 1949,"Near Florianpolis, BrazilMilitary - Brazilian Air Force",Douglas C-47BC-47-2023,27/27(0)
07 Jun 1949,"San Juan, Puerto RicoStrato Freight",Curtiss C-46D-5-CUN92857,53/81(0)
23 Jun 1949,"Off Bari, ItalyKLM Royal Dutch Airlines",Lockheed 749-79-33 ConstellationPH-TER,33/33(0)
02 Jul 1949,"Near Guildford, AustraliaMac Roberston-Miller Airlines",Douglas C-47A-20-DLVH-MME,18/18(0)
12 Jul 1949,"Chatsworth, CaliforniaStandard Airlines",Curtiss C-46E-1-CSN79978,35/48(0)
12 Jul 1949,"Near Bombay, IndiaKLM Royal Dutch Airlines",Lockheed L-749-79-33 ConstellationPH-TDF,45/45(0)
13 Jul 1949,"Jamnagar, Gujarat state, IndiaIndian Air Force",Hawker Hunter?,0/0(14)
19 Jul 1949,"Seattle, WashingtonAir Transport Associates",Curtiss C-46F-1-CUN5075N,2/32(4)
21 Jul 1949,"Marga, RussiaAeroflot",Ilyushin IL-12L1714,13/14(0)
30 Jul 1949,"Chesterfield, New JerseyEastern Air Lines / Military - USN",Douglas DC-3 -201D/ F-6-F- 5 HellcatN19963/BU72887,16/16(0)
02 Aug 1949,"Jaquirana, BrazilVarig",Curtiss C-46D-10-CUPP-VBI,5/36(0)
03 Aug 1949,"Sao Francisco Bay, BrazilLineas Aéreas Brasil",Douglas DC-3PP-AJB,5/30(0)
