Date,Location / Operator,Aircraft Type / Registration,Fatalities
17 Sep 1908,"Fort Myer, VirginiaMilitary - U.S. Army",Wright Flyer III?,1/2(0)
07 Sep 1909,"Juvisy-sur-Orge, France?",Wright ByplaneSC1,1/1(0)
12 Jul 1912,"Atlantic City, New JerseyMilitary - U.S. Navy",Dirigible?,5/5(0)
06 Aug 1913,"Victoria, British Columbia, CanadaPrivate",Curtiss seaplane?,1/1(0)
09 Sep 1913,Over the North SeaMilitary - German Navy,Zeppelin L-1 (airship)?,14/20(0)
17 Oct 1913,"Near Johannisthal, GermanyMilitary - German Navy",Zeppelin L-2 (airship)?,30/30(0)
05 Mar 1915,"Tienen, BelgiumMilitary - German Navy",Zeppelin L-8 (airship)?,21/41(0)
03 Sep 1915,"Off Cuxhaven, GermanyMilitary - German Navy",Zeppelin L-10 (airship)?,19/19(0)
28 Jul 1916,"Near Jambol, BulgeriaMilitary - German Army",Schutte-Lanz S-L-10 (airship)?,20/20(0)
24 Sep 1916,"Billericay, EnglandMilitary - German Navy",Zeppelin L-32 (airship)?,22/22(0)
01 Oct 1916,"Potters Bar, EnglandMilitary - German Navy",Zeppelin L-31 (airship)?,19/19(0)
21 Nov 1916,"Mainz, GermanyMilitary - German Army",Super Zeppelin (airship)?,27/28(0)
28 Nov 1916,"Off West Hartlepool, EnglandMilitary - German Navy",Zeppelin L-34 (airship)?,20/20(0)
04 Mar 1917,"Near Gent, BelgiumMilitary - German Army",Airship?,20/20(0)
30 Mar 1917,Off Northern GermanyMilitary - German Navy,Schutte-Lanz S-L-9 (airship)?,23/23(0)
14 May 1917,"Near Texel Island, North SeaMilitary - German Navy",Zeppelin L-22 (airship)?,21/21(0)
14 Jun 1917,"Off Vlieland Island, North SeaMilitary - German Navy",Zeppelin L-43 (airship)?,24/24(0)
17 Jun 1917,"Near Yarmouth, England?",Zepplin LZ-95 (air ship)L-48,14/16(0)
21 Aug 1917,Off western DenmarkMilitary - German Navy,Zeppelin L-23 (airship)?,18/18(0)
20 Oct 1917,"Near Luneville, FranceMilitary - German Navy",Zeppelin L-44 (airship)?,18/18(0)
07 Apr 1918,Over the MediterraneanMilitary - German Navy,Zeppelin L-59 (airship)?,23/23(0)
10 May 1918,"Off Helgoland Island, GermanyMilitary - German Navy",Zeppelin L-70 (airship)?,22/22(0)
11 Aug 1918,"Ameland Island, North SeaMilitary - German Navy",Zeppelin L-53 (airship)?,19/19(0)
16 Dec 1918,"Elizabeth, New JerseyUS Aerial Mail Service",De Havilland DH-497,1/1(0)
25 May 1919,"Cleveland, OhioUS Aerial Mail Service",De Havilland DH-461,1/1(0)
19 Jul 1919,"Dix Run, PennsylvaniaUS Aerial Mail Service",De Havilland DH-482,1/1(0)
21 Jul 1919,"Chicago, IllinoisWingfoot Air Express Goodyear Tire",FD Type Dirigible?,3/?(10)
02 Aug 1919,"Verona, ItalyCaproni Company",Caproni Ca.48?,14/14(0)
02 Oct 1919,"Newcastle, EnglandAircraft Transport and Travel",De Havilland DH-4?,1/1(0)
14 Oct 1919,"Cantonsville, MarylandUS Aerial Mail Service",Curtiss R-4LM32,1/1(0)
20 Oct 1919,"English Channel off Forkstone, KentAircraft Transport and Travel",De Havilland DH-4G-EAHG,0/0(0)
30 Oct 1919,"Long Valley, New JerseyUS Aerial Mail Service",De Havilland DH.477,1/1(0)
11 Dec 1919,"Catherham, Surrey, UKAircraft Travel Transport",de Havilland DH-4G-EAHF,1/1(0)
10 Mar 1920,"New Paris, IndianaUS Aerial Mail Service",De Havilland DH-465,1/1(0)
30 Mar 1920,"Newark, New JerseyUS Aerial Mail Service",De Havilland DH-472,1/1(0)
10 Apr 1920,"Newark, New JerseyUS Aerial Mail Service",Curtiss R-4LM49,1/2(0)
11 Apr 1920,"Heller Field, New JerseyUS Aerial Mail Service",Curtiss JN-4H44,1/2(0)
12 May 1920,"Oskaloosa, IowaUS Aerial Mail Service",De Havilland DH-479,1/2(0)
06 Jun 1920,"Cleveland, OhioUS Aerial Mail Service",De Havilland DH-4204,1/1(0)
20 Jul 1920,"Cartagena, ColumbiaCompañia Colombiana de Navegación Aérea",Farman F-40?,1/1(0)
16 Aug 1920,"Bedford, EnglandBy Air",Armstrong-Whitworth F-K-8G-EALW,1/1(0)
16 Aug 1920,"College Park, MarylandUS Aerial Mail Service",De Havilland DH-4317,1/1(0)
01 Sep 1920,"Morristown, New JerseyUS Aerial Mail Service",Junkers JL-6305,2/2(0)
15 Sep 1920,"Pemberville, OhioUS Aerial Mail Service",Junkers F-13308,2/2(0)
27 Sep 1920,"Hillersburg, PennsylvaniaUS Aerial Mail Service",De Havilland DH-4316,1/1(0)
02 Oct 1920,"Off Port Vendres, FranceLatecoere Airlines",Salmson 2-A-2F-ALAI,2/2(0)
05 Oct 1920,"Valencia, SpainLatecoere Airlines",Breguet 14F-ALTA,2/2(0)
15 Oct 1920,"Batavia, IllinoisUS Aerial Mail Service",De Havilland DH-476,1/1(0)
07 Nov 1920,"Tie Siding, WyomingUS Aerial Mail Service",De Havilland DH-4?,1/1(0)
14 Dec 1920,"London, EnglandHandley Page Transport",Handley Page HP-16G-EAMA,4/8(0)
24 Dec 1920,"Barcelona, SpainAeropostale",Breguet 14F-ALBO,1/1(0)
