Date,Location / Operator,Aircraft Type / Registration,Fatalities
22 Jan 1940,"Denpasar, IndonesiaKNILM",Lockheed 14 Super ElectraPK-AFO,8/9(0)
10 Feb 1940,"Near Cosenza, ItalyAla Littoria SA",Savoia-Marchetti SM-75I-LEAL,10/10(0)
27 Feb 1940,"Near Bucaramanga, ColumbiaSCADTA",Boeing 247DC-79,11/11(0)
01 Mar 1940,Gulf of OmanImperial Airways,Handley Page HP-42G-AAGX,8/8(0)
16 Mar 1940,"Stromboli Island, ItalyAla Littoria",Savoia Marchetti SM 73I- SUTO,14/14(0)
22 Apr 1940,"Near Loch Lomond, ScotlandBritish Overseas Airways",Lockheed 14 Super ElectraG-AFKD,5/5(0)
02 Jun 1940,"El Segundo, CaliforniaDouglas Aircraft Company",Douglas DC-5?,5/5(0)
14 Jun 1940,"Off Prangli Island, Gulf of Finland, EstoniaAero O-Y",Junkers JU-52/3mgeOH-ALL,9/9(0)
20 Jun 1940,"Near Ouistreham, FranceAir France",Dewoitine D-338F-ARTD,1/1(0)
07 Jul 1940,Gulf of TonkinAir France,Dewoitine D-338F-AQBA,4/4(0)
09 Aug 1940,"Hannover, GermanyDeutsche Lufthansa",Douglas DC-2-115HD-AIAV,2/13(0)
13 Aug 1940,"Near Canberra, AustraliaMilitary - Royal Australian Air Force",Lockheed Hudson A16-97?,10/10(0)
22 Aug 1940," Gospic,,CoatiaAeroput",Lockheed 10 Electra YU-SBC,11/11(0)
23 Aug 1940,"Cluj, RomaniaLARES",Douglas DC-3YR-PAF,15/15(0)
31 Aug 1940,"Near Lovettsville, VirginiaPennsylvania Central Airlines",Douglas DC-3NC21789,25/25(0)
22 Oct 1940,"Osijek, CroatiaAeroput",Lockheed 10 ElectraYU-SBE,7/12(0)
29 Oct 1940,"Near Changyi, ChinaChina National Aviation Corporation",Douglas DC-2NC14297,9/14(0)
29 Oct 1940,"Berlin, GermanyDeutsche Lufthansa",Douglas DC-3D-AAIH,2/15(0)
04 Nov 1940,"Near Rincon, BoliviaLloyd Aero Boliviano SA",Junkers Ju-52/3mCB-17,17/17(0)
04 Nov 1940,"Near Centerville, UtahUnited Air Lines",Douglas DC-3NC16086,10/10(0)
08 Nov 1940,"Rio de Janeiro, BrazilVASP",Junkers Ju53/2mPP-SPF,18/18(0)
08 Nov 1940,"Brandenburg, GermanyDeutsche Lufthansa",Junkers JU-90A-1D-AVMF,29/29(0)
27 Nov 1940,Mediterranean SeaAir France,Farman F-224F-AROA,6/6(0)
04 Dec 1940,"Chicago, IllinoisUnited Air Lines",Douglas DC-3ANC25678,10/16(0)
24 Dec 1940,"Capri Island, ItalyAla Littolia",Savoia-Marchetti SM.75 I-LIGO,7/7(0)
