Date,Location / Operator,Aircraft Type / Registration,Fatalities
14 Jan 1922,"Paris, FranceHandley Page Transport",Handley Page O/10G-EATN,5/5(5)
21 Feb 1922,"Near Norfolk, VirginiaMilitary - U.S. Army Air Service",Dirigible Roma (airship)?,34/45(0)
22 Mar 1922,North Atlantic OceanAero Limited,Aeromarine Model 85 (flying boat)?,5/6(0)
07 Apr 1922,"Grandvilliers, FranceDaimler Airways / Grands Express Aeriens",de Havilland DH-18 / Farman F-60 GoliathG-EAOW/FGEAD,7/7(0)
08 Apr 1922,"Pao Ting Fou, China?",??,17/17(0)
03 Jun 1922,"Off Folkestone, Kent, EnglandCie des Messageries Aeriennes",Bleriot Spad 27F-ACMH,3/3(0)
04 Jul 1922,"Fuhlsbuttel, Germany?",LVG C VI?,2/3(0)
16 Jul 1922,"Near Saverne, Lorraine, FranceCompagnie Franco-Roumaine de Navigaation Aerienne",Potez 29F-FREI,5/5(0)
26 Jul 1922,"Cadix, SpainGrands Express Aeriens",Breguet 14F-ALVE,3/3(0)
07 Sep 1922,"Indianapolis, IndianaUS Aerial Mail Service",De Havilland DH-4227,1/1(0)
02 Oct 1922,"Venice, Italyde Havilland Air Service",de Havilland DH-9G-EAYT,4/4(0)
25 Oct 1922,"Larache, MoroccoGrands Express Aeriens",Breguet 14?,2/2(0)
03 Dec 1922,"Fez, MoroccoGrands Express Aeriens",Breguet 14F-ALNA,1/1(0)
