Date,Location / Operator,Aircraft Type / Registration,Fatalities
12 Feb 1926,"Montpelier, OhioUS Aerial Mail Service",Curtiss Carrier Pigeon602,1/1(0)
08 Mar 1926,"Staaken, GermanyDeutche Lufthansa",Junkers F-13D-290D-290,1/1(0)
31 May 1926,English ChannelAir Union,Breguet 14F-ADAI,1/1(0)
03 Jul 1926,"Rossaugpt, CzechoslovakiaCompagnie Internationale de Navigation Aérienne",Caudron C-61F-AFBT,6/6(0)
09 Jul 1926,"Wolvertem, BelgiumKLM Royal Dutch Airlines",Fokker F7H-NACC,2/2(0)
24 Jul 1926,"Juist, GermanyDeutsche Lufthansa",Junkers F-13D-272,5/5(0)
18 Aug 1926,"Hurst, Kent, EnglandAir Union",Bleriot 155F-AIEB,3/15(0)
26 Sep 1926,"New York, New York?",Sikorsky S-25?,2/5(0)
02 Oct 1926,"Leigh, Kent, Unied KingdomAir Union",Bleriot 155F- AICQ,7/7(0)
08 Oct 1926,"Bueren, GermanyDeutsche Lufthansa",Fokker FG IIID-468,4/4(0)
21 Oct 1926,English ChannelImperial Airways,Handley Page W-10G-EBMS,0/12(0)
11 Nov 1926,"Cape Bojador, MoroccoGrands Express Aeriens",Breguet 14F-AFAX,3/3(0)
16 Dec 1926,"Medford, OregonPacific Air Transport",Ryan M-12,1/1(0)
