Date,Location / Operator,Aircraft Type / Registration,Fatalities
22 Mar 1925,"Near Tiflis, Georgia, USSRZakavia",Junkers F-13R-RECA,5/5(0)
25 Apr 1925,"Alicante, SpainGrands Express Aeriens",Breguet 14F-AFBB,3/3(0)
25 Jun 1925,"Landrécies, FranceKLM Royal Dutch Airlines",Fokker (KLM)  F.IIIH-NABM,4/4(0)
26 Jun 1925,"Alicante, SpainGrands Express Aeriens",Lioré-et-Olivier LeO H-13F-FREM,2/2(0)
20 Jul 1925,"Rosas, SpainLignes Aeriennes Latecoere",Breguet 14F-AFBI,1/1(0)
24 Jul 1925,"Budapest, HungaryCIDNA",Potez IX?,1/1(0)
03 Sep 1925,"Caldwell, OhioMilitary - U.S. Navy",Dirigible ZR-1 Shenandoah (airship)ZR-1,14/43(0)
07 Sep 1925,"Toul, FranceCIDNA",Spad 33?,?/?(?)
01 Oct 1925,"Mt. Nittany, OhioUS Aerial Mail Service",De Havilland DH-4385,1/1(0)
14 Nov 1925,"Nouadhibou, MauritaniaLignes Aeriennes Latecoere",Breguet 14F-AEGZ,1/1(0)
14 Nov 1925,"Off Boulogne-sur-Mer, FranceAir Union",Farman F-60 GoliathF-AMFY,2/2(0)
