Date,Location / Operator,Aircraft Type / Registration,Fatalities
08 Jan 1989,"Leicestershire, EnglandBritish Midland Airways",Boeing B-737-4Y0G-OBME,47/126(0)
31 Jan 1989,"Near Abilene, TexasMilitary - U.S. Air Force",Boeing KC-135A63-7990,19/19(0)
03 Feb 1989,"Rangoon, MyanmarBurma Airways",Fokker F-27 Friendship 600XY-AEK,26/29(0)
06 Feb 1989,"Marseille, FranceRAM",Vickers 952F VanguardF-GEJE,3/3(0)
08 Feb 1989,"Santa Maria, Azores, PortugalIndependent Air Inc.",Boeing B-707-331BN7231T,144/144(0)
19 Feb 1989,"Near Kuala Lumpur, MalaysiaFlying Tiger Line",Boeing 747-249FN807FT,4/4(0)
24 Feb 1989,"Honolulu, HawaiiUnited Air Lines",Boeing B-747-122N4713U,9/356(0)
28 Feb 1989,"Near Quebec City, Quebec, CanadaTransfair",Douglas C-47AC-FBZN,2/2(0)
10 Mar 1989,"Lima, PeruAero Condor",Britten Norman BN-2A TrislanderOB-T-1271,10/10(0)
10 Mar 1989,"Dryden, Ontario, CanadaAir Ontario",Fokker F-28 Fellowship 1000C-FONF,24/69(0)
15 Mar 1989,"West Lafayette, IndianaMid Pacific Air",NAMC YS-11A-300FN128MP,2/2(0)
18 Mar 1989,"Carswell AFB, TexasEvergreen International Airlines",McDonnell Douglas DC-9-33RCN931F,2/2(0)
20 Mar 1989,"Pohang, South KoreaMilitary - U.S. Marine Corps",Sikorsky CH-53D157140,19/34(0)
21 Mar 1989,"Guarulhos, BrazilTransbrasil",Boeing B-707-349CPT-TCS,3/3(18)
10 Apr 1989,"Col de Tourniol, FranceEurope Aero Service EAS",Fairchild FH-227BF-GGDM,22/22(0)
19 Apr 1989,"Near Cucuta, ColombiaSATENA",Pilatus PC-6 Turbo PorterFAC-1110,11/11(0)
26 Apr 1989,"Baranquilla, ColombiaAerosucre Colombia",Aérospatiale SE-210 CaravelleHK-3325X,5/5(0)
05 May 1989,"Near Cancun, MexicoAero Cozumel",Britten Norman BN-2A Trislander IIXA-JPE,6/19(0)
08 May 1989,"Oskarshamn, SwedenHolmstoem Air",Beechcraft 99SE-IZO,16/16(0)
09 May 1989,"Near Tainjin, ChinaAero Asahi",Bell 412JA9596,10/?(0)
07 Jun 1989,"Near Paramaribo, SurinamSurinam Airways",McDonnell Douglas DC-8 Super 62N1809E,176/187(0)
11 Jun 1989,"Vereda el Salitre, ColombiaAerotaca",de Havilland Canada DHC-6 Twin Otter 300HK-2486,6/22(0)
17 Jun 1989,"Berlin, GermanyInterflug",Ilyushin IL-62MKDDR-SEW,20/113(1)
18 Jun 1989,"Zabol, IranAriana Afghan Airlines",Antonov AN-26YA-BAK,6/39(0)
22 Jun 1989,"Near Tarma, PeruFuerza Aérea del Peru",de Havilland Canada DHC-5D BuffaloFAP-329,62/62(0)
27 Jun 1989,"Kaohsiung, TaiwanFormosa Airlines",Cessna 404 Titan Courier IIB-12206,12/13(0)
28 Jun 1989,"Yaounde,  CameroonCameroon Airlines",Hawker Siddeley HS-748-435 Srs. 2TJ-CCF,3/47(0)
28 Jun 1989,"Near Borana, SomaliaSomali Airlines",Fokker F-27 Friendship 600RF6O-SAZ,30/30(0)
29 Jun 1989,"Cartersville, GeorgiaCalair",Dassault Falcon 20N125CA,2/2(0)
19 Jul 1989,"Glen Burnie, MarylandAir Taxi - Centre Airlines Inc.",Beech E18SN138JR,2/5(0)
19 Jul 1989,"Talourow Island, USSRAeroflot",Antonov AN-26CCCP-26685,10/10(0)
19 Jul 1989,"Sioux City, IowaUnited Air Lines",McDonnell Douglas DC-10-10N1819U,112/298(0)
21 Jul 1989,"Porgera, New GuineaTalair",de Havilland Canada DHC-6 Twin Otter 300P2-RDW,3/22(0)
21 Jul 1989,"Manila, PhilippinesPhilippine Air Lines",BAC One-Eleven 516FPRP-C1193,1/98(8)
23 Jul 1989,"Near Jalalabad, AfghanistanMilitary - Afghan Republican Air Force",Mil Mi-8 / Mil Mi-8?,30/30(0)
26 Jul 1989,"Near Chana, AngolaMilitary - Angolan Air Force",Antonov AN-26?,42/48(0)
27 Jul 1989,"Off Ullung Do, South KoreaUniversal Airlines",Sikorsky S-58T?,13/19(0)
27 Jul 1989,"Tripoli, LibyaKorean Airlines",McDonnell Douglas DC-10-30HL-7328,75/199(4)
31 Jul 1989,"Auckland, New ZealandAir Freight New Zealand",Convair CV-580ZK-FTB,3/3(0)
03 Aug 1989,"Samos, GreeceOlympic Aviation",Shorts 330-200SX-BGE,34/34(0)
07 Aug 1989,"Near Gambela, EthiopiaRRC Air Service",de Havilland DHC-6 Twin Otter 300ET-AIL,16/16(0)
08 Aug 1989,"Near Midford Sound, New ZealandAspring Air",Britten-Norman BN-2A-26 TrislanderZK-EVK,10/10(0)
13 Aug 1989,"Janice, MississippiPrivate",Cessna 177RGN1976Q,2/2(0)
15 Aug 1989,"Shanghai, China, ChinaChina Eastern Airlines",Antonov AN-24RVB-3417,34/40(0)
25 Aug 1989,"Near Gilgit, PakistanPakistan International Airlines",Fokker F-27 Friendship 200AP-BBF,54/54(0)
03 Sep 1989,"Near Sao Jose do Xingu, BrazilVarig",Boeing B-737-241PP-VMK,13/54(0)
03 Sep 1989,"Near Havana, CubaCubana de Aviacion",Ilyushin IL-62MCU-T1281,126/126(45)
08 Sep 1989,"Skagerrak, DenmarkPartnair",Convair CV-580LN-PAA,55/55(0)
15 Sep 1989,"Mayfield, KentuckyWehite Cap Aviation",Beech King Air B100N887PE,6/6(0)
15 Sep 1989,"Near Bentuni, IndonesiaMerpati Nusantara Airlines",de Havilland Canada DHC-6 Twin Otter 300PK-NUE,22/22(0)
19 Sep 1989,"Near Bilma, NigerUnion des Transportes Aeriens",McDonnell Douglas DC-10-30N54629,171/171(0)
20 Sep 1989,"Fairbanks, AlaskaBoeing KC-135E",Military - U.S. Air Force57-1481,2/7(0)
20 Sep 1989,"La Guardia Airport, New York, New YorkUSAir",Boeing B-737-401N416US,2/63(0)
21 Sep 1989,Centeral AfghanistanAfghanistanMilitary - Afghan Republican Air Force,Mil Mi-8 (helicopter)?,26/26(0)
21 Sep 1989,"Near Baghran, AfghanistanMilitary - Afghan Republican Air Force",Mil Mi-17 ( helicopter)?,24/24(0)
23 Sep 1989,"Ujani Dam, IndiaVayudoot",Dornier Do-288-201VT-EJF,11/11(0)
26 Sep 1989,"Terrace,  CanadaSkylink Airlines",Swearingen SA.227AC Metro IIIC-GSLB,7/7(0)
27 Sep 1989,"Grand Canyon National Park Airport, Tusayan, ArizonaGrand Canyon Airlines",de Havilland Canada DHC-6 Twin Otter 300N75GC,10/21(0)
28 Sep 1989,"Semyonovka ,UkraineMAP",Antonov An-32CCCP-48095,9/9(0)
04 Oct 1989,"Perth, Ontario, CanadaMilitary - U.S. Air Force",Boeing KC-135A56-3592,4/4(0)
06 Oct 1989,"Uncertain, TexasWinchester Air",Cessna 208 Caravan IN208W,5/5(0)
10 Oct 1989,"Lacey Township, New JerseyAir Taxi - Paramount Aviation Corp.",Agusta A109A MK IIN21FL,5/5(0)
10 Oct 1989,"Urpay, PeruTAUSA",Cessna 402C UtililinerOB-T-1254,12/12(0)
18 Oct 1989,"Nasosny, RussiaMilitary - Russian Air Force",Ilyushin IL-76MDCCCP-76569,57/57(0)
20 Oct 1989,"Leninakan, RussiaAeroflot",Ilyushin IL-76TDCCCP-76466,15/15(0)
21 Oct 1989,"Near Tegucigalpa, HondurasTAN",Boeing B-727-224N88705,127/146(0)
26 Oct 1989,"Petropavlovsk, USSRMilitary - Soviet Air Force",Antonov AN-2609,36/36(0)
26 Oct 1989,"Hualien, ChinaChina Airlines (Taiwan)",Boeing B-737-209B-180,54/54(0)
28 Oct 1989,"Halawa Point, Molokai, HawaiiAloha Island Air",de Havilland DHC-6 Twin Otter 300N707PV,20/20(0)
09 Nov 1989,"Monrovia, LiberiaWeasua Air Ttansport",Britten-Norman BN-2A Islander9L-LAV,2/10(0)
10 Nov 1989,"Maluti Mountains, LesothoMilitary - Royal Lesotho Defence Force",Casa 212 AviocarLDF-46,18/18(0)
21 Nov 1989,"Near Tyumem, RussiaAeroflot",Antonov AN-24CCCP-46335,34/42(0)
23 Nov 1989,AlbaniaMilitary - People's Army/ Military - Peoples Air Force,Mil Mi-4 / Mil Mi-4?,24/24(0)
25 Nov 1989,"Seoul, South KoreaKorean Airlines",Fokker F-28 Fellowship 4000HL-7255,1/52(0)
27 Nov 1989,"Bogota, ColombiaAVIANCA",Boeing B-727-21HK-1803,107/107(3)
27 Nov 1989,"Near Jamba, AngolaTepper Aviation",Lockheed L-100-20 HerculesN9205T,5/5(0)
28 Nov 1989,"Charallave, VenezuelaLineas Aéreas Cave",Cessna 402YV-478C,3/7(0)
28 Nov 1989,"Block Island, Rhode IslandNew England Airlines",Britten-Norman BN-2A IslanderN127JL,8/8(0)
01 Dec 1989,"Patuxent, MarylandMilitary - U.S. Army",CASA 212 Aviocar 200N296CA,5/5(0)
21 Dec 1989,"Near Guayaramerin, BoliviaMilitary - Bolivian Air Force",Lockheed C-130ATAM-62,24/28(0)
26 Dec 1989,"Pasco, WashingtonUnited Express",British Aerospace 3101 Jetstream 31N410UE,6/6(0)
28 Dec 1989,"Near Visina, RomaniaTarom",Antonov An-24RVYR-BMJ,7/7(0)
30 Dec 1989,Milford SoundAir Fiordland,Cessna 207 / Cessna 207ZK-DAX / ZK-DQF,5/5(0)
