Date,Location / Operator,Aircraft Type / Registration,Fatalities
02 Jan 1969,"Tyonek, AlaskaERA Helicopter",Bell 205AN4048G,2/2(0)
02 Jan 1969,"Mt. Paku, TaiwanChina Airlines (Taiwan)",Douglas DC-3DB-309,24/24(0)
05 Jan 1969,"Gatwick Airport, Horley, Surrey,  EnglandAriana Afghan Airlines",Boeing B-727-113CYA-FAR,48/62(2)
06 Jan 1969,"Near Bradford, PennsylvaniaAllegheny Airlines",Convair CV-580N5825,11/28(0)
13 Jan 1969,"Off Los Angeles, CaliforniaScandinavian Airlines (SAS)",McDonnell Douglas DC-8-62LN-MOO,15/45(0)
16 Jan 1969,"Near Hue, VietnamAir America",Douglas C-47 Skytrain (DC-3)949,12/12(0)
18 Jan 1969,"Off Los Angeles, CaliforniaUnited Air Lines",Boeing B-727-22QCN7434U,38/38(0)
18 Feb 1969,"Near Lone Pine, CaliforniaMineral County Airlines",Douglas DC-3N15570,35/35(0)
24 Feb 1969,"Tainan, TaiwanFar Eastern Air Transport",Handley Page Dart Herald 201B-2009,36/36(0)
05 Mar 1969,"San Juan, Puerto RicoPrinair",de Havilland DH-114 Heron 2DN563PR,19/19(0)
08 Mar 1969,Atlantic OceanContinental Air Transport,Douglas DC-4N3821,3/3(0)
13 Mar 1969,"Minchumina, AlaskaWien Consolidated Airlines",de Havilland DHC-6N4901,1/5(0)
16 Mar 1969,"Maracaibo, Zulia, VenezuelaVenezolana Internacional de Aviacion",McDonnell Douglas DC-9-32YV-C-AVD,84/84(71)
20 Mar 1969,"Near Aswan, EgyptUnited Arab Airlines",Ilyushin IL-18DSU-APC,100/105(0)
20 Mar 1969,"New Orleans, LouisianaAvion Airways",Douglas DC-3N142D,16/27(0)
02 Apr 1969,"Zawoja, PolandLOT Polish Airlines",Antonov AN-24VSP-LTF,53/53(0)
02 Apr 1969,"Near Quang Tri, South VietnamMilitary - U.S. Army",Boeing Vertol CH47C (helicopter)67-18523,24/78(0)
02 Apr 1969,"Off New Providence Island, BahamasIslands of the Bahamas Inc",Curtiss C-46FN3914,2/2(0)
07 Apr 1969,"Sept-Îles, Quebec, CanadaAir Canada",Vickers 757 ViscountCF-THK,1/21(0)
15 Apr 1969,"Off Chongjin, North KoreaMilitary - U.S. Navy",Lockheed EC-121M135749,31/31(0)
16 Apr 1969,"Kinshasa, ZaireWigmo",Curtiss C-469T-PLJ,45/45(0)
21 Apr 1969,"Khulna, East PakistanIndian Airlines",Fokker F-27 Friendship 100VT-DOJ,44/44(0)
24 Apr 1969,"Near Takoradi, GhanaGhana Airways",Douglas DC-39G-AAF,1/33(0)
06 May 1969,"Near Chon Thanh, South VietnamMilitary - U.S. Army",Boeing Vertol CH47A (helicopter)66-19029,30/74(0)
07 May 1969,"Medford, New JerseyFlying W Airways",Curtiss C-46FN1243N,2/2(0)
23 May 1969,"Near Lashio, BurmaUnion of Burma Airways",Douglas C-47XY-ACR,6/6(0)
25 May 1969,"Reggio di Calabria, ItalyAero Transporti Italiani",Fokker F-27 Friendship 600I-ATIT,1/36(0)
04 Jun 1969,"Near Salinas Victoria, Nuevo Leon, MexicoCompania Mexicana de Aviacion",Boeing B-727-64XA-SEL,79/79(0)
05 Jun 1969,"Off Andreanof Islands, AlaskaMilitary - U.S. Air Force",Boeing RC-135E62-4137,19/19(0)
23 Jun 1969,"Near Poroslitsy, RussiaAeroflot",Ilyushin IL-14M / Antonov An-12BPCCCP-52018,120/120(0)
28 Jun 1969," Near Talas, KyrgyzstanAeroflot",Ilyushin IL-14CCCP-91495,40/40(0)
06 Jul 1969,"Near Monroe, GeorgiaAir South",Beechcraft B-99N844NS,14/14(0)
12 Jul 1969,"Hitauda, NepalRoyal Nepal Airlines",Douglas DC-39N-AAP,35/35(0)
15 Jul 1969,"New York City, New YorkNew York Airways",de Havilland Canada DHC-6 Twin Otter 200N558MA,3/14(0)
25 Jul 1969,"Kekaha, HawaiiTrans Isle Air",De Havilland DH-104 DoveN88G,1/13(0)
