Date,Location / Operator,Aircraft Type / Registration,Fatalities
04 Jan 2001,"Zheng Zou AB, ChinaMilitary - People's Liberation Army",Shaanxi Yunshuji Y-8/Yunshuji Y-831242/31243,16/16(6)
08 Jan 2001,"Near Silimo, IndonesiaMilitary - Tentara Nasional Indonesia Navy",CASA 212-MP Aviocar 200U-614,9/9(0)
23 Jan 2001,"Eider Point, AlaskaMajestic Air Cargo",Douglas C-47A-30-DK (DC-3C)N19454,2/2(0)
25 Jan 2001,"Ciudad Bolivar, VenezuelaRutaca Airlines",Douglas DC-3C (C47A-DL)YV-224C,24/24(0)
27 Jan 2001,"Byers, ColoradoNorth Bay Charter",Beech King Air 200 CatpassN81PF,10/10(0)
31 Jan 2001,"El Yopal, ColombiaLineas Aereas Suramericanas",Sud Aviation SE-210 Caravelle 10RHK-3932X,3/6(0)
08 Feb 2001,"Nurnberg, GermanyE.A.S. Aeroservizi",Learjet 35AI-MOCO,3/3(0)
08 Feb 2001,"Beaver Island, MinnesotaNorthern Illinois Flight Center",Swearingen SA.227AT Merlin IVCN318DH,2/6(0)
10 Feb 2001,"Jakobkondre, SurinameGum Air Charter",GAF Nomad N24APZ-TBP,10/10(0)
27 Feb 2001,"Near Granton Harbour, ScotlandLoganair",Shorts 360-100G-BNMT,2/2(0)
03 Mar 2001,"Unadilla, GeorgiaMilitary - Florida Army National Guard",Short 36093-1336,21/21(0)
03 Mar 2001,"Bangkok, ThailandThai Airways",Boeing B-737-4D7HS-TDC,1/5(0)
15 Mar 2001,"Medina, Saudi ArabiaVnukovo Airlines",Tupolev 154MRA-85619,3/174(0)
24 Mar 2001,"Gustavia, St. Barthélémy, French West IndiesAir Caraibes",de Havilland Canada DHC-6 Twin OtterF-OGES,19/19(1)
26 Mar 2001,"Jadura, IndonesiaMerpati Nusantara Airlines",Fokker F-27 Friendship 500FPK-MFL,3/3(0)
29 Mar 2001,"Near Aspen, ColoradoJetwingsco Inc. - Private Charter",Grummand Gulfstream IIIN303GA,18/18(0)
04 Apr 2001,"Adar Yeil, SudanMilitary - Sudan Air Force",Antonov AN-24?,14/30(0)
07 Apr 2001,"Thanh Tranh Village, VietnamSFC Vietnam - Charter - Full Account",Mil Mi-18 HelicopterVN-8415,16/16(0)
28 Apr 2001,"Near Roque Perez, ArgentinaPrivate - Techint  group",Cessna  208B Grand CaravanLV-WSC,10/10(0)
16 May 2001,"Malatya, TurkeyMilitary - Turkish Air Force",CASA CN-235M-10?,34/34(0)
17 May 2001,"Near Sari, IranFaraz Qeshm Airlines",Yakovlev YAK-40EP-TQP,30/30(0)
17 May 2001,"Mendoza, ArgentinaFuerza Aérea Argentina",Fokker F-27 Friendship 400MTC-76,5/5(0)
22 May 2001,"Near Myakotino, RussiaMilitary - Russian Air Force",Antonov 12MGARA-12135,7/7(0)
15 Jun 2001,"Jayapura, IndonesiaManunggal Air",Transall C-160NGPK-VTP,1/19(0)
04 Jul 2001,"Near Irkutsk, RussiaVladivostokavia",Tupolev TU-154MRA-85845,145/145(0)
05 Jul 2001,"Off Chinhae, South KoreaPrivate  - Daewoo Shipbuilding",Sikorsky S-76B helicopterHL9240,8/12(0)
12 Jul 2001,"Near Puerto Cabello, VenezuelaPrivate - Overtec Company",Antonov AN-28 PZL-Mielec M-28 Sky TruckYV-117CP,13/13(0)
14 Jul 2001,"Near Moscow, RussiaRuss Air Transport Company",Ilyushin IL-76RA-76588,10/10(0)
05 Aug 2001,"Reykjavík, IcelandNaske Air",Dassault Falcon 20CD-CBNA,3/3(0)
10 Aug 2001,"Near Meadview, ArizonaPapillon Grand Canyon Helicopters of Las Vegas",Aerospatiale AS350 Eurocopter  helicoperN169PA,6/7(0)
23 Aug 2001,"Mugogo, Democratic Republic CongoVictoria Airlines",Antonov 283C-LLA,4/11(0)
24 Aug 2001,"Ithaca, New YorkAmeristar Jet Charter",Learjet 25N153TW,2/2(0)
24 Aug 2001,"Lajes, Terceira, AzoresAir Transat",Airbus A-330-243C-GITS,0/304(0)
29 Aug 2001,"Near Malaga, SpainBinter Mediterráneo",CASA  CN-235-200EC-FBC,4/47(0)
11 Sep 2001,"Arlington, Virginia.American Airlines",Boeing B-757-223N644AA,64/64(125)
11 Sep 2001,"New York City, New YorkAmerican Airlines",Boeing 767-223ERN334AA,92/92(2750)
11 Sep 2001,"New York City, New YorkUnited Air Lines",Boeing B-767-222N612UA,65/65(2750)
11 Sep 2001,"Shanksville, PennsylvaniaUnited Air Lines",Boeing B-757-222N591UA,44/44(0)
12 Sep 2001,"Near Chichen Itza, MexicoAero Ferinco Charter",LET 410UVPXA-ACM,19/19(0)
15 Sep 2001,"Belo Horizonte, BrazilTAM (Brazil)",Fokker 100PT-MRN,1/82(0)
18 Sep 2001,"Guatemala City, GuatemalaAtlantic Airlines",LET 410UVP-ETG-CPE,9/13(0)
04 Oct 2001,"110 miles SW of Sochi, RussiaSibir Airlines",Tupolev Tu-154MRA-85693,78/78(0)
08 Oct 2001,"Mollet Lake, Quebec, CanadaAir Saint Maurice Inc.",de Havilland DHC-2 Mk 1 BeaverC-GPUO,3/7(0)
08 Oct 2001,"Milan, ItalyScandinavian Airlines (SAS) / Private",MD-87 / Cessna 525A Citation IISE-DMA / D-IEVX,114/114(4)
10 Oct 2001,"Off Valencia, SpainFlightline",Swearingen SA-226AT Merlin IVEC-GDV,10/10(0)
10 Oct 2001,"Dillingham, AlaskaPenAir",Cessna 208 CaravanN9530F,10/10(0)
11 Oct 2001,"Shamattawa, CanadaPerimeter Airlines",Swearingen SA.226TC Metro IC-GYPA,2/3(0)
18 Oct 2001,"Anchorage, AlaskaERA Aviation - Air Taxi",Bell 206LN400EH,3/5(0)
12 Nov 2001,"Belle Harbor, Queens, New YorkAmerican Airlines",Airbus A-300-605RN14053,260/260(5)
19 Nov 2001,"Kalyazin, RussiaCharter - IRS Aero",Ilyushin 18VRA-75840,27/27(0)
22 Nov 2001,"Pittsburgh, PennsylvaniaUniversal Jet Aviation",Learjet 25BN5UJ,2/2(0)
