Date,Location / Operator,Aircraft Type / Registration,Fatalities
10 Jan 1933,AlgiersAeropostale,CAMS 53F-AISV,1/3(0)
14 Jan 1933,"Newark, New JerseyEastern Air Transport",Curtiss Condor 18NC185H,2/2(0)
20 Jan 1933,"Marietta, GeorgiaAmerican Airways",Stearman 4N490W,1/1(0)
20 Jan 1933,"Bourne, TexasAmerican Airways",Stearman 4NC11721,1/1(0)
24 Jan 1933,"Eugene, OregonPacific Air Transport",Ford 5-AT-DNC431H,2/3(0)
11 Mar 1933,"Near Mendoza, ArgentinaPan American Grace Airways",Fairchild FC-2WNC9723,2/2(0)
25 Mar 1933,"Hayward, CaliforniaVarney Airlines",Lockheed Orion 9NC12226,3/3(11)
28 Mar 1933,"Near Dixmude, BelgiumImperial Airways",Armstrong Whitworth Argosy IIG-AACI,15/15(0)
03 Apr 1933,"Hemkenrode, GermanyDeutsche Lufthansa",Junkers F-13D-534,1/2(0)
04 Apr 1933,"Off Barnegat, New JerseyMilitary - U.S. Navy",Goodyear-Zeppelin U.S.S. Akron (airship)ZRS-4,73/76(0)
23 Apr 1933,"Near Castrovillari, Calabria, ItalyAir Orient",Cams 53-1F-ALCE,5/8(0)
29 Apr 1933,"Traunstein, GermanyEurasia",Junkers W-34D-4,4/4(0)
09 May 1933,"Near Viladrau, SpainAeropostale - La Tecoere Company",Latecoere 28-1F-AJIX,6/6(0)
04 Jun 1933,"Bowling Green, VirginiaEastern Air Transport",Pitcairns PA-6?,1/1(0)
11 Jun 1933,"Glenview, IllinoisPalwaukee",Sikorsky S-38B (flying boat)NC-141M,9/9(0)
18 Jul 1933,Aegean SeaSocieta Anonima Aero Expresso Italiana,CMASA Wal (flying boat)I-AZEE,6/6(0)
29 Aug 1933,"Quay, New MexicoTrans Continental and Western Air",Ford 5-AT-B Tri MotorNC9607,5/5(0)
12 Sep 1933,"Near Ljubljana, YugoslaviaAeroput",Farman F-306YU-SAH,8/8(0)
10 Oct 1933,"Chesterton, IndianaUnited Air Lines",Boeing 247NC13304,10/10(0)
31 Oct 1933,"Etobon, FranceAir France",Farman F-301F-AJMI,2/5(0)
09 Nov 1933,"Portland, OregonUnited Air Lines",Boeing 247NC13345,4/10(?)
10 Nov 1933,"Moriarty, New MexicoTrans Continental and Western Air",Northrop DeltaNC12292,0/1(0)
20 Nov 1933,"Near Tsinan, ChinaChina National Aviation Corporation",Stinson?,8/8(?)
21 Nov 1933,"Near Kharkov, Ukraine, USSRKalinin",Kalinin K-7?,14/20(0)
24 Nov 1933,"Wedron, IllinoisNational Air Transport",Boeing 247NC13324,2/2(0)
11 Dec 1933,"Hamburg, GermanyDeutsche Lufthansa",Focke-Wulf A-17D-1403,6/10(0)
14 Dec 1933,"Eshowe, South AfricaUnion Airways",Junkers W-34ZS-AEB,5/6(0)
30 Dec 1933,"Near Ruysselede, BelgiumImperial Airways",Avro 10G-ABLU,10/10(0)
