Date,Location / Operator,Aircraft Type / Registration,Fatalities
02 Jan 1954,"Herat, AfghanistanAriana Afghan Airlines",Douglas DC-3?,21/21(0)
05 Jan 1954,"Lapseki, TurkeyDevlet Hava Yollari",Douglas DC-3TC-BAG,4/10(0)
06 Jan 1954,"Near Aldbury, EnglandMilitary -Royal Air Force",Vickers ValettaWJ474,16/17(0)
10 Jan 1954,"Off Elba, ItalyBritish Overseas Airways",de Havilland DH106 Comet 1G-ALYP,35/35(0)
11 Jan 1954,"Manizales, ColombiaAVIANCA",Douglas DC-3HK-160,21/21(0)
12 Jan 1954,"Prague, Czech RepublicCzech Airlines",Douglas C-47 Skytrain (DC-3)OK-WDS,13/18(0)
13 Jan 1954,"Signal Hill, CaliforniaMilitary - U.S. Air Force",F-88 Sabre Jet?,1/1(6)
14 Jan 1954,"Rome, ItalyPhilippine Air Lines",Douglas DC-6PI-C294,16/16(0)
20 Jan 1954,"Kansas City, MissouriZantop Air Transport",Douglas DC-3AN49551,3/3(0)
01 Feb 1954,"Off Hokkaido, JapanMilitary - U.S. Air Force",Curtiss-Wright C46D-CU44-78027A,35/35(0)
05 Feb 1954,"Susitna Valley, AlaskaMilitary - U.S. Air Force",Douglas C-475895,10/16(0)
12 Feb 1954,"Off Gozo, MaltaMilitary - Royal Air Force",Avro Shackleton MR-2WL794,10/10(0)
25 Feb 1954,"New Delhi, IndiaIndian Airlines",Douglas DC-3VT-ATU,3/3(0)
26 Feb 1954,"Wright, WyomingWestern Airlines",Convair CV-240N8407H,9/9(0)
04 Mar 1954,"Near St. Etienne de Tinee, FranceMilitary - U.S. Air Force",Douglas C-47A-DL42-24096A,20/20(0)
13 Mar 1954,"Dien Bien Phu, South VietnamAigle Azur",C-46?,?/?(?)
13 Mar 1954,"Kallang Airport, SingaporeBritish Overseas Airways",Lockheed 749A-79-33 ConstellationG-ALAM,33/40(0)
14 Mar 1954,"Off Mackay, AustraliaQueensland Airlines",Douglas C-47AVH-BBV,2/2(0)
19 Mar 1954,"Near Lothian, MarylandMilitary - U.S. Air Force",Fairchild C-110F51-7993,18/18(0)
26 Mar 1954,"Monterrey, MexicoAeronaves de Mexico",Douglas DC-3XA-GUN,18/18(0)
03 Apr 1954,"Kabassaak, TurkeyDevlet Hava Yollari",Douglas DC-3TC-ARK,25/25(0)
04 Apr 1954,"Hanoi, VietnamAutrex",Douglas C-54AF-BFGQ,4/4(0)
08 Apr 1954,"Off Stromboli, ItalySouth African Airways, leased from British Overseas Airways",de Havilland DH106 Comet 1G-ALYY,21/21(0)
08 Apr 1954,"Moose Jaw, SK, CanadaTrans Canada Air Lines / RCAF",Canadair C-4-1Argonaut / Harvard Mark IICF-TFW/RCAF3309,36/36(1)
13 Apr 1954,"Xieng Kouang, LaosSociete Indochinoise de Raviteillement",Lockheed 18 LodestarF-OALK,16/23(0)
13 Apr 1954,"Batuco, ChileLAN",Douglas DC-3956,14/14(0)
23 Apr 1954,"Sierra del Vilgo, ArgentinaAerolineas Argentinas",Douglas DC-3LV-ACX,25/25(0)
30 Apr 1954,"Near Calcutta, IndiaDarbhanga Aviation",Douglas C-47A-30-DKVT-DEM,5/11(0)
22 May 1954,"Paraparaumu, New ZealandNew Zealand National Airways",Douglas DC-3ZK-AQT,3/28(0)
31 May 1954,"Cipo Mountain, BrazilTransportes Aereos Nacionales",Douglas DC-3PP-ANO,19/19(0)
03 Jun 1954,"Near Maribor, SloveniaSabena",Douglas C-47AOO-CBY,1/4(0)
04 Jun 1954,"Sao Paulo, BrazilVarig",Curtiss C-46APP-VBZ,3/3(0)
08 Jun 1954,"Da Nang, VietnamSoc. de Tr. Aériens d'Extrême Orient",Douglas C-47-DLF-BCCL,4/4(0)
19 Jun 1954,"Off Folkestone, EnglandSwissair",Convair CV-240-4HB-IRW,3/9(0)
02 Jul 1954,"Near Salvador, BrazilMilitary - Brazilian Air Force",Lockheed C-28C-28-2901,24/24(0)
23 Jul 1954,"Off Hainan Island, ChinaCathay Pacific Airways",Douglas DC-4VR-HEU,10/18(0)
08 Aug 1954,"Near McGrath, AlaskaAlaska Airlines",Douglas DC-2N91008,2/2(0)
09 Aug 1954,"Terceira Island, Azores, PortugalAVIANCA",Lockheed 749A-79 ConstellationHK-163,30/30(0)
12 Aug 1954,VietnamAutrex,Douglas DC-3F-BSGS,3/3(0)
16 Aug 1954,"Near Pakse, LaosAir Vietnam (South Vietnam)",Bristol 170 Freighter 21EF-VNAI,47/55(0)
22 Aug 1954,"Near Mason City, IowaBraniff Airlines",Douglas DC-3N61451,12/19(0)
23 Aug 1954,"Off IJuuiden, North SeaKLM Royal Dutch Airlines",Douglas DC-6BPH-DFO,21/21(0)
26 Aug 1954,"Sakhalin Oblast, RussiaAeroflot",Lisunov LI-2CCCP-L4679,26/27(1)
27 Aug 1954,"Near Rapid City, South DekotaMilitary - U.S. Air Force",Convair RB-36H51-13722,26/27(0)
05 Sep 1954,"Foynes, IrelandKLM Royal Dutch Airlines",Lockheed 1049C-55-81 S ConstellationPH-LKY,28/56(0)
12 Sep 1954,"Off Rio de Janeiro, BrazilCruzeiro",Douglas DC-3PP-CDJ,6/26(0)
15 Sep 1954,"Cairo, EgyptMisrair",Vickers 634 VikingSU-AFO,3/4(0)
27 Sep 1954," Novosibirsk, RussiaAeroflot",Ilyushin IL-12CCCP-L1365,29/29(0)
