Date,Location / Operator,Aircraft Type / Registration,Fatalities
15 Jan 1979,"Minsk, RussiaAeroflot",Antonov AN-24NCCCP46807,13/13(0)
24 Jan 1979,"Bechar, AlgeriaAir Algerie",Nord 262A-447T-VSU,14/23(0)
27 Jan 1979,"Rodez, FranceAir Rouergue",Fokker F-27 Friendship 500F-BYAH,5/6(0)
30 Jan 1979,"125 miles ENE of Tokyo, JapanVarig",Boeing B-707-326CPP-VLU,6/6(0)
08 Feb 1979,"Near Agudos, BrazilTAM Lineas Aéreas Regional",Embraer 110C BandeirantePP-SBB,18/18(0)
12 Feb 1979,"Near Kariba, RhodesiaAir Rhodesia",Vickers Viscount 748DVP-YND,59/59(0)
12 Feb 1979,"Clarksburg, West VirginiaAllegheny Airlines",Nord 262N29824,2/25(0)
17 Feb 1979,"Manakau Harbor, New ZealandAir New Zealand",Fokker F-27 Friendship 500ZK-NFC,2/4(0)
19 Feb 1979,"Barentu, EthiopiaEthiopian Airlines",Douglas DC-3ET-AFW,5/5(0)
01 Mar 1979,"Gulfport, MississippiUniversal Airways",Beech BE-70N777AE,8/8(0)
10 Mar 1979,"Off Marina del Rey, CaliforniaSwift Aire Lines Inc.",Aerospatiale Nord 262A-33N418SA,3/7(0)
14 Mar 1979,"Bejing, ChinaCAAC",Hawker Siddeley Trident 2EB-274,12/12(32)
14 Mar 1979,"Near Doha Airport, QatarAlia Royal Jordanian Airlines",Boeing B-727-2D3JY-ADU,45/64(0)
17 Mar 1979,"Near Moscow, RussiaAeroflot",Tupolev TU-104BCCCP-42444,58/119(0)
26 Mar 1979,"Luanda, AngolaInterflug",Ilyushin IL-18DDM-STL,10/10(0)
29 Mar 1979,"Ste. Foy, PQ, CanadaQuebecair",Fairchild F-27CF-QBL,17/24(0)
14 Apr 1979,"Off Avalon, CaliforniaCatalina Airlines",Grumman G-21 GooseN11CS,1/11(0)
18 Apr 1979,"Newark, New JerseyNew York Airways",Sikorsky S61-LN618PA,3/18(0)
23 Apr 1979,"Near Cuenca, EcuadorSAETA",Vickers Viscount 785DHC-AVP,57/57(0)
25 May 1979,"Bullen Point, AlaskaSea Airmotive",de Havilland Canada DHC-4A CaribouN581PA,3/3(0)
25 May 1979,"Chicago O'Hare, IllinoisAmerican Airlines",McDonnell Douglas DC-10-10N110AA,271/271(2)
27 May 1979,"Off Dakar, SenegalMilitary - Mauritanian Air Force",de Havilland Canada DHC-5D Buffalo5T-MAX,12/12(0)
30 May 1979,"Rockland, MaineDowneast Airlines",de Havilland DHC-6-200N68DE,17/18(0)
07 Jun 1979,"Near Leh, IndiaMilitary - Indian Air Force",Hindustan Aeronautics 748-2MH2178,27/27(0)
17 Jun 1979,"Hyannis, MassachusettsAir New England",de Havilland Canada DHC-6 Twin Otter 300N383EX,1/10(0)
11 Jul 1979,"Near Medan Airfield, IndonesiaGaruda Indonesia Airlines",Fokker F-28 Fellowship 1000PK-GVE,61/61(0)
