Date,Location / Operator,Aircraft Type / Registration,Fatalities
02 Jan 1984,"Amman, JordanMilitary - Royal Jordanian Air Force",CASA 212-A3 Aviocar 100324,13/13(0)
03 Jan 1984," Novoagansk, RussiaAeroflot",Mi-6CCCP-21006,38/76(0)
09 Jan 1984,"Saint Louis, MissouriSkycraft Air Transport",Douglas DC-3C-GSCA,1/2(0)
10 Jan 1984,"Sofia, BulgariaBalkan Bulgarian Airlines",Tupolev TU-134ALZ-TUR,50/50(0)
13 Jan 1984,"Cochabamba, BoliviaNorth East Bolivian Airways",Douglas EC-54UCP-1090,1/3(0)
28 Jan 1984,"Izhevsk, RussiaAeroflot",Antonov An-24RVCCCP-47358,4/51(0)
30 Jan 1984,"Terre Haute, IndianaBritt Airways",Swearingen SA.226TC Metro IIN63Z,3/3(0)
16 Feb 1984,"Near Debre Zelt, EthiopiaMilitary - Ethiopian Air Force",Antonov AN-121506,26/38(0)
19 Feb 1984,"Near San Gerardo, El SalvadorMilitary - Salvadoran Air Force",Bell UH-1H / Bell UH-1H?,28/28(0)
28 Feb 1984,"JFK Airport, New York, New YorkScandinavian Airlines (SAS)",McDonnell Douglas DC-10-30LN-RKB,0/177(0)
13 Mar 1984,"Barranquilla, ColombiaAerosucre Colombia",Curtiss C-46AHK-1322P,4/6(0)
16 Mar 1984,"San Borja, BoliviaLloyd Aereo Boliviano",Fairchild F-27MCP-862,23/23(0)
24 Mar 1984,"Near Rurrenabaque, BoliviaFrigorifico Reyes",Douglas C-54CP-1206,5/5(0)
24 Mar 1984,"Near Hunghae, South KoreaMilitary - U.S. Marine Corps",Sikorsky CH-53D157132,29/29(0)
31 Mar 1984,Off  BiminiState Airlines,Cessna 402BN44NC,6/6(0)
18 Apr 1984," Imperatriz, BrazilVOTEC / VOTEC",Embraer 110EJ Band./Embraer 110P Band.PT-GJZ/PT-GKL,19/35(0)
08 May 1984,"Elbet Beni Salama, EgyptMilitary - Egyptian Air Force",McDonnel F-4E Phantom II?,2/2(19)
30 May 1984,"Chalkhill, PennsylvaniaZantop International Airlines",Lockheed L-188AF ElectraN5523,4/4(0)
04 Jun 1984,"Windsor Locks, ConnecticutAir Continental",Learjet 23AN101PP,3/3(0)
19 Jun 1984,"Island Beach, New JerseyAir Taxi - Raco Helicopters Corp.",Aerospeciale AS-350DN5784M,3/3(0)
28 Jun 1984,"Near Sao Pedro d' Aldeia, BrazilTAM Lineas Aéreas Regional",Embraer 110C BandeirantePP-SBC,18/18(0)
11 Jul 1984,"Off Buenavista, PhilippinesMilitary - Philippine Air Force",Bell UH-1H?,30/30(0)
12 Jul 1984,"Sigonella AFB, ItalyMilitary - U.S. Air Force",Lockheed C-141B64-0624,9/9(0)
21 Jul 1984,"Tau Island, American SamoaSouth Pacific Island Airways",de Havilland Canada DHC-6 Twin Otter 300N43SP,1/14(0)
02 Aug 1984,"Vieques, Puerto RicoVieques Air Link",Britten-Norman BN-2A IslanderN589SA,9/9(0)
04 Aug 1984,"Nawabshah, PakistanAeroflot",Antonov AN-12BPCCCP-10232,24/24(0)
05 Aug 1984,"Dacca, BangladeshBangladesh Biman",Fokker F-27 Friendship 600S2-ABJ,49/49(0)
11 Aug 1984,"Near Memphis, TennesseeAviation Enterprises",Douglas DC-3N70003,3/3(0)
15 Aug 1984,"Near Wamena, IndonesiaAirfast Indonesia",Douglas C-47APK-OBC,2/3(0)
24 Aug 1984,"San Luis Obispo, CaliforniaWings West Airlines / Private",Beechcraft C99 / Rockwell 112TCN6399U/N112SM,17/17(0)
30 Aug 1984,"Douala, CameroonCameroon Airlines",Boeing B-737-2H7CTJ-CBD,2/116(0)
06 Sep 1984,"Mt. Musaka, Papua, New GuineaTalair",Britten-Norman BN-2A-20 IslanderP2-ISG,9/11(0)
07 Sep 1984,"Near Naples, FloridaProvincetown - Boston Airlines",Cessna 402CN89PB,1/6(0)
11 Sep 1984,"Near the Kwango River, ZaireMMM Aero Services",Handley Page Dart Herald 2029Q-CAH,30/30(0)
16 Sep 1984,"Opole, PolandAPRL",Antonov An-2TSP-AMK,11/25(0)
18 Sep 1984,"Quito, EcuadorAECA Cargo",McDonnell Douglas DC-8F-55HC-BKN,4/4(49)
21 Sep 1984,"Near Sarakchar, AfghanistanMilitary - Russian Air Force",Antonov AN-12?,50/50(0)
09 Oct 1984,"Fort Franklin, CanadaNahanni Air Services",de Havilland Canada DHC-6 Twin Otter 100C-FPPL,7/7(0)
11 Oct 1984,"Near Omsk, RussiaAeroflot",Tupolev TU-154BCCCP-85243,174/179(4)
11 Oct 1984,"Goose Bay, Newfoundland, CanadaLabradore Airways",de Havilland Canada DHC-6 Twin Otter 100C-FAUS,4/4(0)
27 Oct 1984,"Near Kabul, AfghanistanMililtary - Soviet Air Force",Ilyushin IL-76MCCCP-86739,11/11(0)
