Date,Location / Operator,Aircraft Type / Registration,Fatalities
10 Jan 1923,"Ajaccio, FranceAmee de l'Air",Lioré-et-Olivier H-13F-AEIB,3/4(0)
17 Jan 1923,"Barcelona, SpainGrands Express Aeriens",Breguet 14F-ALJU,1/1(0)
18 Jan 1923,"Cheyenne, WyomingUS Aerial Mail Service",De Havilland DH-4223,1/1(0)
26 Feb 1923,"Meadville, PennsylvaniaUS Aerial Mail Service",De Havilland DH-4291,1/1(0)
14 May 1923,"Near Amiens, Picrdie, FranceGrands Express Aeriens (Air Union)",Farman F-60 GoliathF-AEBY,6/6(0)
27 Aug 1923,"East Mallling, United KingdomAir Union",Farman F.60 GoliathF-AECB,1/11(0)
27 Aug 1923,"Bucharest, RomaniaCampagnie France Roumaine",Blériot Spad 46F-AEGN,2/2(0)
07 Sep 1923,"Colton, OhioUS Aerial Mail Service",De Havilland DH-4283,1/1(0)
14 Sep 1923,"Near Ivinghoe, Buckinghamshire, EnglandDaimler Airways",de Havilland DH-34G-EBBS,5/5(0)
18 Nov 1923,RussiaCCCP,Junkers F-13D-257,3/5(0)
06 Dec 1923,"Castalia, OhioUS Aerial Mail Service",De Havilland DH-4318,1/1(0)
23 Dec 1923,Over the Mediterranean SeaMilitary - French Navy,Zeppelin Dixmunde (airship)L-72,52/52(0)
24 Dec 1923,"Egbert, WYUS Aerial Mail Service",De Havilland DH-4315,1/1(0)
