Date,Location / Operator,Aircraft Type / Registration,Fatalities
20 Jan 2014,Near Petreasa RomaniaScoala Superioara de Aviatie Civla,Britten Norman BN-2A-27 IslanderYR-BNP,2/7(0)
11 Feb 2014,"Near Ain Kercha, AlgeriaMilitary - Algerian Air Force",Lockheed C-130H-30 Hercules7T-WHM,76/77(0)
16 Feb 2014,"Sandhikhark, NepalNepal Airlines",de Havilland Canada DHC-6 Twin Otter 3009N-ABB ,18/18(0)
21 Feb 2014,"Grombalia, TunisiaLibyan Air Cargo",Antonov 265A-DOW ,11/11(0)
08 Mar 2014,South Indian OceanMalaysia Airlines,Boeing 777-2009M-MRO,239/239(0)
18 Mar 2014,"Seattle, WashingtonHelicopters Inc / KOMO TV",Urocopter AS350 B2N250FB,2/2(0)
19 Apr 2014,"Ramos Arizpe, MexicoLineas Aereas Comerciales",British Aerospace BAe 125-700A HawkerXA-UKR,8/8(0)
20 Apr 2014,"Jamijarvi, FinlandSuomen Urheiluilmailijat",Aerocomp Comp Air 8OH-XDZ ,8/8(0)
08 May 2014,"Near San Vicente del Caguan, ColombiaAlisansa Colombia",Douglas DC-3CHK-4700,6/6(0)
17 May 2014,"Xiang Khouang province, LaosLaos Air Force",Antonov 74TK-300RDPL-34020 ,16/17(0)
14 Jun 2014,"Lugansk, UkraineMilitary - Ukraine Air Force",Ilyushin 76MD76777,49/49(0)
02 Jul 2014,"Near Nairobi, KenyaSkyward International Aviation",Fokker 505Y-CET,4/4(0)
07 Jul 2014,"Thach That district, VietnamMilitary - Vietnam People's Army Air Force",Mil Mi-171?,18/19(0)
17 Jul 2014,"Hrabove, UkraineMalaysia Airlines",Boeing 777-2H6ER9M-MRD,298/298(0)
23 Jul 2014,"Magong, TaiwanTransAsia Airways",ATR 72-500B-22810,48/58(0)
24 Jul 2014,"Aguelhok, MaliAir Algerie",Mc Donnell Douglas MD-83EC-LTV,116/116(0)
10 Aug 2014,"Tehran, IranSepahan Airlines",HESA Iran-140-100EP-GPA,39/48(0)
30 Aug 2014,"Tamanraset, AlgeriaUkraine Air Alliance",Antonov An-12BKUR-DWF,7/7(0)
31 Aug 2014,"Mwanza, TanzaniaSafari Express Cargo",Fokker F-27 MK 5005Y-SXP,3/3(0)
20 Sep 2014,"Near Port Moresby, Papua New GuineaHevlift",de Havilland Canada DHC-6 Twin Otter 300P2-KSV,4/9(0)
04 Oct 2014,"Wichita Falls, TexasAir Evac Lifeteam",Bell 206L?,2/4(0)
28 Dec 2014,"Near Uvira, CongoAir Sirin",Antonov An-264L-AFS,6/6(0)
28 Dec 2014,Java SeaAirAsia,Airbus A-320-216PK-AXC,162/162(0)
